a,eta,seed,crossed,step,w2_cross
1.5,0.0025,860113,True,3727.0,2.828500614013056
1.5,0.0025,860114,True,5832.0,2.9106925120216944
1.5,0.0025,860115,True,3105.0,2.616934749896658
1.5,0.0025,860116,True,5799.0,2.7870112925543546
1.5,0.0025,860117,True,4561.0,2.853889017807214
1.5,0.0025,860118,True,3367.0,2.7444391454290282
1.5,0.0025,860119,True,3871.0,2.6393723851849664
1.5,0.0025,860120,True,5578.0,2.956766888636139
1.5,0.0025,860121,True,5221.0,2.61062496607493
1.5,0.0025,860122,True,12988.0,2.6276172246966483
1.5,0.0025,860123,True,10446.0,2.9693051300944084
1.5,0.0025,860124,True,12139.0,2.642194857282277
1.5,0.0025,860125,True,4913.0,2.9473417311191175
1.5,0.0025,860126,True,7962.0,2.7900120882903425
1.5,0.0025,860127,True,3160.0,2.834458113806462
1.5,0.0025,860128,True,5672.0,2.913322452861368
1.5,0.0025,860129,True,9826.0,2.7818742958284903
1.5,0.0025,860130,True,4613.0,3.1300380570148985
1.5,0.0025,860131,True,6840.0,2.9990022662591183
1.5,0.0025,860132,True,9089.0,2.6201404793742302
1.5,0.0025,860133,True,6195.0,3.017708660403975
1.5,0.0025,860134,True,4142.0,2.7784837748164435
1.5,0.0025,860135,True,5236.0,2.8342794279446513
1.5,0.0025,860136,True,9281.0,2.610314224929751
1.5,0.0025,860137,True,10436.0,3.0116726118944057
1.5,0.0025,860138,True,10872.0,3.054117078629287
1.5,0.0025,860139,True,5100.0,3.195177593819949
