a,winding,opt,cell,gamma,crossed,step,s_cross,placed_in_warmup,w1,b1,b2,seed,w1_end,b1_end,b2_end,steps_run
1.3,-1,sgd,2,3.743013912668677e-05,True,20652,5.368290198789169,False,-0.8254083821770165,-2.4489888691855772,16.144525082940376,860019,-0.8082487778553503,-2.466906470388356,18.733149188580047,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,20613,5.3604594176591664,False,-0.8496470191073434,-2.463092029556413,16.196443297750204,860020,-0.8321729067442104,-2.480487822916657,18.811800205475475,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,13285,4.074555349854726,False,-0.8400667315368768,-2.453449426885417,12.384001956171709,860021,-0.7958005663336205,-2.5008968289845472,19.023347531028026,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,21597,5.561572769979462,False,-0.8301388743003995,-2.4503966747017696,16.738308465325158,860022,-0.8170710229454412,-2.4642967520343295,18.722277010317057,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,17010,4.684170719222214,False,-0.8249570135767035,-2.448858599313321,14.17030077229415,860023,-0.7935298398374923,-2.4828911347104237,18.904450818324054,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,19785,5.196875234188957,False,-0.8471867767516651,-2.455914552731267,15.723165903370838,860024,-0.8270656207157878,-2.476809329758346,18.850651215617038,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,22486,5.749749762193634,False,-0.8111445496146106,-2.4449024130103214,17.351576054421457,860025,-0.8026697289069037,-2.4541361028649584,18.742742286798567,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,19753,5.190654328105499,False,-0.8334823179248991,-2.4514097351448476,15.716281604953927,860026,-0.8129068790028051,-2.47314370000813,18.863166193360623,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,22549,5.763324238694731,False,-0.823323537700358,-2.4483765418958687,17.441537975757218,860027,-0.8151430731204642,-2.4572537540395802,18.789350605933897,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,19397,5.121946970692841,False,-0.8321631707195426,-2.451012374168735,15.431776995771745,860028,-0.8093113774757991,-2.4756910759912722,18.7970992372644,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,21418,5.524434811756183,False,-0.8442718776159329,-2.454779989860423,16.631513840996085,860029,-0.8302930144797152,-2.4690419227149594,18.731365376289382,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,18769,5.002953845555667,False,-0.8209194972226292,-2.447679011714947,15.14350943387871,860030,-0.796946814528206,-2.473810140906976,18.877511973592398,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,23040,5.870223049444844,False,-0.8262424537972607,-2.449233028148152,17.800422450458292,860031,-0.8199910791314398,-2.455917187810587,18.813644697246847,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,21000,5.438673273096828,False,-0.8197919377629186,-2.447348253749513,16.43988438839716,860032,-0.8047879836160727,-2.4634592144109884,18.808568276609254,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,17611,4.7907376908289505,False,-0.8383241014023693,-2.4529085985726353,14.41532815045076,860033,-0.8077470947790648,-2.4845417756137325,18.817081578782012,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,15428,4.4148524453586315,False,-0.8436713802811014,-2.454588811133383,13.2777862622052,860034,-0.8030571687155801,-2.496748449823502,18.854697398317445,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,20967,5.431959600486339,False,-0.8293408214233959,-2.450160689373301,16.47301150434066,860035,-0.8148062790077206,-2.4657890516405665,18.859155371515364,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,20102,5.258905275526982,False,-0.8316114214648587,-2.4508447907283304,15.871836590471174,860036,-0.8122500539655773,-2.4712088136843846,18.801554724558162,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,21693,5.581593080346312,False,-0.8229016318780865,-2.4482555773551997,16.784234760476476,860037,-0.8101841633655571,-2.4617964400847963,18.704565094201158,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,20466,5.331045928720513,False,-0.8349940812418719,-2.4518757463514587,16.06551579164728,860038,-0.8173553264891198,-2.4704551900873297,18.77058926966756,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,20896,5.417543115908446,False,-0.8490683820389324,-2.4613504712906398,16.306328276730337,860039,-0.8324520513034647,-2.4782956310070396,18.742357936475337,28470
1.3,-1,sgd,3,9.40202586018404e-05,True,6653,4.632140194457865,False,-0.850031486791936,-2.464284898051942,13.93407468771507,860000,-0.8140768764329589,-2.501547366929715,19.06170606858273,13868
1.3,-1,sgd,3,9.40202586018404e-05,True,8247,5.381070319492151,False,-0.8472228289712525,-2.4560092214922786,16.23903041486571,860001,-0.8288897602308366,-2.475215906083714,19.017946447410726,13868
1.3,-1,sgd,3,9.40202586018404e-05,True,6357,4.505005039803416,False,-0.8259581901985269,-2.4491499152258944,13.636266558134636,860002,-0.7905896596935456,-2.487929211601783,19.15100401545388,13868
1.3,-1,sgd,3,9.40202586018404e-05,True,9868,6.266977228780922,False,-0.8229483490190219,-2.448277371166483,18.95167242288097,860003,-0.8229483490190219,-2.448277371166483,18.95167242288097,13868
1.3,-1,sgd,3,9.40202586018404e-05,True,5917,4.322440165831205,False,-0.8404352509184816,-2.453569366415257,13.056879220768371,860004,-0.7997981210563353,-2.4963821131423494,19.14505787010026,13868
1.3,-1,sgd,3,9.40202586018404e-05,True,8935,5.740654547228868,False,-0.8181893984770107,-2.446887979883661,17.382517274183858,860005,-0.8085622054579211,-2.4576646326478557,19.032103829189822,13868
1.3,-1,sgd,3,9.40202586018404e-05,True,9301,5.941636800743557,False,-0.819009090785539,-2.447133283177787,17.970783994949596,860006,-0.8132057766099375,-2.4534983275455744,18.990348525743872,13868
1.3,-1,sgd,3,9.40202586018404e-05,True,7788,5.153788111056553,False,-0.8309510312142242,-2.450649582130922,15.543386429208523,860007,-0.8085560534206855,-2.474674523679452,19.03628998414145,13868
1.3,-1,sgd,3,9.40202586018404e-05,True,8208,5.361375195205958,False,-0.8404361443122966,-2.453564982565031,16.18275879037209,860008,-0.8225118953862626,-2.4721486640706685,19.021097460644903,13868
1.3,-1,sgd,3,9.40202586018404e-05,True,8679,5.6041312571456725,False,-0.8342216059739459,-2.4516496987812086,16.887371250845653,860009,-0.8209214652460437,-2.465853844081035,18.967093796148777,13868
1.3,-1,sgd,3,9.40202586018404e-05,True,8044,5.279340507499077,False,-0.8284377386423224,-2.449887330123644,15.954289207047022,860010,-0.8091577648910135,-2.4709238888113445,19.048232616473175,13868
1.3,-1,sgd,3,9.40202586018404e-05,True,6814,4.702791497075193,False,-0.8471065863606778,-2.45570357434622,14.124787206894188,860011,-0.813287695892003,-2.4902795565703495,19.02718933354103,13868
1.3,-1,sgd,3,9.40202586018404e-05,True,8491,5.505944031292798,False,-0.8382650174671437,-2.4528915659010666,16.667016805472237,860012,-0.8235656816252391,-2.468482950463762,19.051041503650755,13868
1.3,-1,sgd,3,9.40202586018404e-05,True,9661,6.146187335916843,False,-0.8092777373894552,-2.4443871453153267,18.624502527854904,860013,-0.8071347865497862,-2.4468060055888508,19.0031255780974,13868
1.3,-1,sgd,3,9.40202586018404e-05,True,7929,5.2225660224605885,False,-0.8326504505669625,-2.4511578372931195,15.716314590556248,860014,-0.8112880105349953,-2.473824565828464,18.990221474559874,13868
1.3,-1,sgd,3,9.40202586018404e-05,True,6716,4.659659061119062,False,-0.8354067973955007,-2.451999377106655,14.002090743781496,860015,-0.8013144997660998,-2.488102288664253,19.04386911774337,13868
