a,winding,opt,cell,gamma,seed,s_cross,w2_own,winding_k,b1_offset,mirror,chi,kappa_k,pred_r,init_winding,obs_r,winding_b,s_branch,branch_over_own,obs_r_branch
1.3,-1,sgd,2,3.743013912668677e-05,860005,5.681930093128301,5.646875,-1,0.0046141982630842,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,0.0062078748207285,-1,5.644042373794404,0.9994983727804148,0.006712869398325605
1.3,-1,sgd,2,3.743013912668677e-05,860006,5.875718701967945,5.834375,-1,0.0044054799469765,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,0.0070862263683677,-1,5.8335610818840955,0.9998604960915429,0.007226738435081925
1.3,-1,sgd,2,3.743013912668677e-05,860007,5.103384315809643,5.071875,-1,0.0007858636240101,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,0.0062125576457705,-1,5.070746928386485,0.9997775829227818,0.0064364062896633545
1.3,-1,sgd,2,3.743013912668677e-05,860008,5.302984650149279,5.265625,-1,-0.0021151384183673,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,0.0070950077434832,-1,5.265314680056628,0.9999410668356801,0.00715436253702606
1.3,-1,sgd,2,3.743013912668677e-05,860009,5.543491397746613,5.503125,-1,-0.0001805143563995,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,0.0073351773304464,-1,5.504604859446335,1.0002689125626503,0.007064365071281387
1.3,-1,sgd,2,3.743013912668677e-05,860010,5.2298532686457,4.684375,-1,0.0016086746271746,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,0.1164463281965468,-1,5.19789872756701,1.1096248117554657,0.006147588237765955
1.3,-1,sgd,2,3.743013912668677e-05,860011,4.655156310830243,4.621875,-1,-0.0043365916519233,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,0.0072008245204042,-1,4.624568261784122,1.0005827206023794,0.006614249658479565
1.3,-1,sgd,2,3.743013912668677e-05,860012,5.450697192430211,4.965625,-1,-0.0013867468267267,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,0.0976860299418926,-1,5.415034799527506,1.0905041761163008,0.006585810474535991
1.3,-1,sgd,2,3.743013912668677e-05,860013,6.084081951593923,6.046875,-1,0.0071650586395559,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,0.0061530876020958,-1,6.044290816943877,0.9995726415617782,0.006583259451795387
1.3,-1,sgd,2,3.743013912668677e-05,860014,5.168165902654231,5.134375,-1,0.0002850666398295,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,0.0065813078815299,-1,5.13303408802393,0.99973883637715,0.006844258975849726
1.3,-1,sgd,2,3.743013912668677e-05,860015,4.613352544400729,4.584375,-1,-0.0006105841878962,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,0.006320936747262,-1,4.583356896719108,0.9997779188480673,0.006544471302920352
1.3,-1,sgd,2,3.743013912668677e-05,860016,4.330888645718129,6.140625,-1,-0.0135984148848988,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,-0.2947153350484472,-1,4.307454773315346,0.7014684618121683,0.005440306082365787
1.3,-1,sgd,2,3.743013912668677e-05,860017,4.9369158171816085,5.278125,-1,-0.0002711607117351,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,-0.0646459079348048,-1,4.905832102594112,0.9294649335879904,0.006336073868296488
1.3,-1,sgd,2,3.743013912668677e-05,860018,5.365277007014531,4.878125,-1,0.0006846472982848,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,0.0998646010535875,-1,5.330965438936095,1.0928308395000323,0.006436276594072865
1.3,-1,sgd,2,3.743013912668677e-05,860019,5.368290198789169,5.328125,-1,0.0024147165205858,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,0.0075383364296388,-1,5.330962216920211,1.0005324981903037,0.0070021096286296824
1.3,-1,sgd,2,3.743013912668677e-05,860020,5.3604594176591664,5.321875,-1,-0.0116884438502502,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,0.0072501548155803,-1,5.32234010241274,1.0000873944639324,0.007162134420749533
1.3,-1,sgd,2,3.743013912668677e-05,860021,4.074555349854726,6.215625,-1,-0.0020458411792532,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,-0.3444657054029602,-1,4.052098341352384,0.6519213017761502,0.0055420689752674335
1.3,-1,sgd,2,3.743013912668677e-05,860022,5.561572769979462,5.521875,-1,0.0010069110043939,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,0.0071891830183521,-1,5.524782266513483,1.000526499877937,0.006659177084492818
1.3,-1,sgd,2,3.743013912668677e-05,860023,4.684170719222214,5.246875,-1,0.0025449863928415,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,-0.1072456044365047,-1,4.657926937194966,0.8877526026815896,0.005634219338582547
1.3,-1,sgd,2,3.743013912668677e-05,860024,5.196875234188957,5.159375,-1,-0.0045109670251033,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,0.0072683676199067,-1,5.158302323567154,0.999792091787698,0.00747783053458706
1.3,-1,sgd,2,3.743013912668677e-05,860025,5.749749762193634,5.703125,-1,0.0065011726958417,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,0.0081753007681988,-1,5.7034259779714045,1.0000527742196434,0.00812209791117624
1.3,-1,sgd,2,3.743013912668677e-05,860026,5.190654328105499,5.103125,-1,-6.149438684488473e-06,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,0.0171521034866868,-1,5.1576487268804545,1.010684380037811,0.0063993503576593724
1.3,-1,sgd,2,3.743013912668677e-05,860027,5.763324238694731,5.728125,-1,0.0030270438102943,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,0.0061449843875143,-1,5.725640202317312,0.9995662109882922,0.006581628437317466
