act,a,depth,seed,budget,heldout_errors,heldout_acc,train_acc,perfect,wout_fro,train_loss
gelu,,8,3,16000,1,0.99995,1.0,False,1.739990472793579,6.19274365121214e-09
gelu,,8,3,64000,2,0.9999,1.0,False,1.8332291841506958,1.406786770408175e-10
gelu,,8,4,1000,384,0.9808,0.9821000099182129,False,1.4135628938674927,0.046518586575984955
gelu,,8,4,4000,269,0.98655,0.9886999726295471,False,1.9938093423843384,0.03308241069316864
gelu,,8,4,16000,217,0.98915,0.9918000102043152,False,3.2068679332733154,0.026148267090320587
gelu,,8,4,64000,212,0.9894,0.9945999979972839,False,6.544849872589111,0.01945440284907818
gelu,,8,5,1000,1535,0.92325,0.9164999723434448,False,1.4294841289520264,0.14862927794456482
gelu,,8,5,4000,193,0.99035,0.9933000206947327,False,2.5632126331329346,0.022512109950184822
gelu,,8,5,16000,123,0.99385,0.9952999949455261,False,4.336198329925537,0.01679394580423832
gelu,,8,5,64000,116,0.9942,0.9962999820709229,False,4.295656681060791,0.014633049257099628
gelu,,8,7,1000,639,0.96805,0.968999981880188,False,2.532177686691284,0.1379820555448532
gelu,,8,7,4000,232,0.9884,0.9907000064849854,False,5.6149139404296875,0.030609101057052612
gelu,,8,7,16000,23,0.99885,1.0,False,25.013036727905273,0.0017593811498954892
gelu,,8,7,64000,22,0.9989,1.0,False,70.9247817993164,2.916834773714072e-07
gelu,,8,8,1000,265,0.98675,0.9898999929428101,False,1.171841025352478,0.038630664348602295
gelu,,8,8,4000,152,0.9924,0.9958999752998352,False,1.8952856063842773,0.0201091468334198
gelu,,8,8,16000,123,0.99385,0.9969000220298767,False,4.508235931396484,0.0155461635440588
gelu,,8,8,64000,120,0.994,0.9977999925613403,False,8.266303062438965,0.009065643884241581
gelu,,8,6,1000,247,0.98765,0.9891999959945679,False,1.4408313035964966,0.0293840691447258
gelu,,8,6,4000,3,0.99985,1.0,False,1.8310399055480957,1.615867631699075e-06
gelu,,8,6,16000,0,1.0,1.0,True,1.9238848686218262,1.4243490831233885e-09
gelu,,8,6,64000,0,1.0,1.0,True,2.0439929962158203,5.3738714866913284e-11
gelu,,8,9,1000,591,0.97045,0.972000002861023,False,2.1346499919891357,0.10108226537704468
gelu,,8,9,4000,43,0.99785,0.9991000294685364,False,2.8607418537139893,0.005949293728917837
gelu,,8,9,16000,58,0.9971,0.9993000030517578,False,6.4222259521484375,0.004484311677515507
gelu,,8,9,64000,69,0.99655,1.0,False,15.110950469970703,6.13357826750871e-08
3.0,3.0,8,0,1000,147,0.99265,0.9968000054359436,False,0.973386824131012,0.015527191571891308
3.0,3.0,8,0,4000,136,0.9932,0.9952999949455261,False,1.3361246585845947,0.022256219759583473
3.0,3.0,8,0,16000,97,0.99515,0.9976999759674072,False,3.3356924057006836,0.009852131828665733
3.0,3.0,8,0,64000,43,0.99785,0.9987999796867371,False,5.788455486297607,0.004058153368532658
3.0,3.0,8,1,1000,99,0.99505,0.9968000054359436,False,0.93693608045578,0.011936433613300323
3.0,3.0,8,1,4000,61,0.99695,0.9998999834060669,False,1.2303671836853027,0.0010772779351100326
3.0,3.0,8,1,16000,66,0.9967,1.0,False,3.192396879196167,0.00010234606452286243
3.0,3.0,8,1,64000,66,0.9967,0.9998999834060669,False,6.859412670135498,0.0006436490220949054
3.0,3.0,8,2,1000,456,0.9772,0.9803000092506409,False,0.9441749453544617,0.05647912621498108
3.0,3.0,8,2,4000,73,0.99635,0.9983999729156494,False,1.2251235246658325,0.007286831736564636
3.0,3.0,8,2,16000,53,0.99735,1.0,False,1.7732447385787964,0.00031309289624914527
3.0,3.0,8,2,64000,56,0.9972,1.0,False,3.055445671081543,2.720450531512597e-09
3.0,3.0,8,3,1000,239,0.98805,0.9905999898910522,False,1.092278242111206,0.031066253781318665
3.0,3.0,8,3,4000,24,0.9988,1.0,False,1.64089035987854,7.178381929406896e-05
3.0,3.0,8,3,16000,6,0.9997,1.0,False,2.3862645626068115,1.1404051036834062e-07
3.0,3.0,8,3,64000,1,0.99995,1.0,False,2.980159044265747,1.2353719158753051e-09
3.0,3.0,8,4,1000,132,0.9934,0.9970999956130981,False,1.0020753145217896,0.01263363566249609
3.0,3.0,8,4,4000,94,0.9953,0.9983000159263611,False,1.3299808502197266,0.00874402280896902
3.0,3.0,8,4,16000,411,0.97945,0.982200026512146,False,2.136819839477539,0.04744124412536621
3.0,3.0,8,4,64000,308,0.9846,0.9908000230789185,False,4.37729024887085,0.029202410951256752
3.0,3.0,8,5,1000,20,0.999,0.9994999766349792,False,0.7506862878799438,0.0043283309787511826
3.0,3.0,8,5,4000,13,0.99935,1.0,False,1.0229612588882446,3.726661088876426e-05
3.0,3.0,8,5,16000,11,0.99945,1.0,False,1.5821034908294678,3.06331600086196e-08
