activation,parameter,seed,eval_errors,solved,w2_abs,w1_abs
sin_family,1.35,137,114,False,4.192244529724121,0.8954053521156311
sin_family,1.35,138,82,False,3.8601224422454834,0.9038819074630737
sin_family,1.35,139,97,False,1.9790197610855103,1.0181792974472046
sin_family,1.35,140,97,False,2.3928918838500977,0.9850365519523621
sin_family,1.35,141,20,False,4.4232563972473145,0.8584856986999512
sin_family,1.35,142,92,False,3.8891100883483887,0.8968349695205688
sin_family,1.35,143,199,False,0.49932432174682617,0.034354567527770996
sin_family,1.35,144,104,False,3.4847617149353027,0.9237430691719055
sin_family,1.35,145,91,False,4.479744911193848,0.9000807404518127
sin_family,1.35,146,110,False,4.517607688903809,0.8894755840301514
sin_family,1.35,147,37,False,5.340074062347412,0.8753310441970825
sin_family,1.35,148,95,False,2.2740797996520996,0.9853031635284424
sin_family,1.35,149,182,False,0.3122968375682831,0.03623116388916969
sin_family,1.35,150,1,False,6.092428207397461,0.8546285033226013
sin_family,1.35,151,0,False,5.872043132781982,0.8479165434837341
sin_family,1.35,152,13,False,5.129652500152588,0.861255407333374
sin_family,1.35,153,95,False,4.140951156616211,0.9007026553153992
sin_family,1.35,154,87,False,3.44051194190979,0.9150130152702332
sin_family,1.35,155,101,False,3.6335408687591553,0.9483088850975037
sin_family,1.35,156,109,False,1.1077874898910522,1.1897014379501343
sin_family,1.35,157,206,False,0.2233944833278656,0.015218288637697697
sin_family,1.35,158,201,False,0.21341805160045624,0.0020722663030028343
sin_family,1.35,159,12,False,5.214319705963135,0.8481953740119934
sin_family,1.35,160,199,False,0.09723886102437973,0.04363848641514778
sin_family,1.35,161,199,False,0.3546522259712219,0.05475451052188873
sin_family,1.35,162,90,False,4.0680437088012695,0.8933050632476807
sin_family,1.35,163,100,False,3.777686834335327,0.9314829111099243
sin_family,1.35,164,29,False,4.633865833282471,0.8864306807518005
sin_family,1.35,165,108,False,3.638127088546753,0.918211817741394
sin_family,1.35,166,105,False,2.1566591262817383,1.0219144821166992
sin_family,1.35,167,102,False,3.0097742080688477,0.9640424251556396
sin_family,1.35,168,41,False,4.551700115203857,0.878705620765686
sin_family,1.35,169,5,False,5.7983856201171875,0.8644083142280579
sin_family,1.35,170,92,False,2.5037522315979004,1.0003257989883423
sin_family,1.35,171,104,False,1.149145245552063,1.2014259099960327
sin_family,1.35,172,1,False,6.777806758880615,0.8361910581588745
sin_family,1.35,173,30,False,5.023049354553223,0.8714107275009155
sin_family,1.35,174,104,False,2.987016439437866,0.9574283361434937
sin_family,1.35,175,102,False,2.3506765365600586,0.9784572720527649
sin_family,1.35,176,199,False,0.42066866159439087,0.0007495229365304112
sin_family,1.35,177,169,False,0.5359070301055908,0.040527600795030594
sin_family,1.35,178,98,False,4.294930458068848,0.8983325958251953
sin_family,1.35,179,217,False,0.3000992238521576,0.011957572773098946
sin_family,1.35,180,0,True,5.868222236633301,0.8579753041267395
sin_family,1.35,181,85,False,4.053572654724121,0.895534098148346
sin_family,1.35,182,100,False,2.374328136444092,0.995076596736908
sin_family,1.35,183,81,False,4.558741569519043,0.8868083357810974
sin_family,1.35,184,20,False,5.451374053955078,0.87574303150177
sin_family,1.35,185,202,False,0.37264060974121094,0.0025626758579164743
sin_family,1.35,186,94,False,2.956451892852783,0.9353827834129333
sin_family,1.35,187,104,False,2.2869322299957275,1.0198557376861572
sin_family,1.35,188,25,False,4.6638360023498535,0.8925234079360962
sin_family,1.35,189,85,False,3.6995086669921875,0.9133052229881287
sin_family,1.35,190,9,False,5.106139183044434,0.8445774912834167
sin_family,1.35,191,15,False,5.339001655578613,0.8579062223434448
sin_family,1.35,192,102,False,3.7353615760803223,0.9221542477607727
sin_family,1.35,193,107,False,4.095051288604736,0.9055172204971313
sin_family,1.35,194,21,False,5.420973777770996,0.8665762543678284
sin_family,1.35,195,100,False,4.14089298248291,0.8979127407073975
sin_family,1.35,196,202,False,0.6370651721954346,0.007930860854685307
sin_family,1.35,197,107,False,1.8719971179962158,1.0355474948883057
sin_family,1.35,198,48,False,4.287759780883789,0.8868539333343506
sin_family,1.35,199,105,False,3.8072147369384766,0.9018155932426453
sin_family,1.4,0,169,False,0.25049126148223877,0.14017707109451294
sin_family,1.4,1,17,False,4.237933158874512,0.9319000840187073
sin_family,1.4,2,0,True,5.470949649810791,0.8870420455932617
sin_family,1.4,3,60,False,3.80136775970459,0.9398903250694275
sin_family,1.4,4,192,False,0.6707332730293274,0.0012506232596933842
sin_family,1.4,5,4,False,4.613890171051025,0.9061142802238464
sin_family,1.4,6,188,False,0.7428405284881592,0.013182937167584896
sin_family,1.4,7,0,False,5.48913049697876,0.8825715184211731
sin_family,1.4,8,198,False,0.6442149877548218,0.0017643844475969672
sin_family,1.4,9,20,False,4.4079203605651855,0.9105508923530579
sin_family,1.4,10,5,False,5.274521350860596,0.8937397599220276
sin_family,1.4,11,211,False,0.4930746257305145,0.03421735391020775
sin_family,1.4,12,8,False,5.1728515625,0.8828305006027222
sin_family,1.4,13,196,False,0.5586068034172058,0.061924200505018234
sin_family,1.4,14,188,False,0.4789048433303833,0.010562775656580925
sin_family,1.4,15,99,False,3.3387210369110107,0.9510890245437622
sin_family,1.4,16,201,False,0.33233726024627686,0.016177518293261528
sin_family,1.4,17,211,False,0.8444998264312744,0.0018780630780383945
sin_family,1.4,18,26,False,4.4093194007873535,0.9065654277801514
sin_family,1.4,19,11,False,4.879417419433594,0.9068262577056885
sin_family,1.4,20,108,False,3.41030216217041,0.9553323984146118
sin_family,1.4,21,197,False,0.9640609622001648,0.023487843573093414
sin_family,1.4,22,101,False,2.778041362762451,0.992837131023407
sin_family,1.4,23,96,False,3.4986677169799805,0.9246715307235718
