A,source,type,dmu,var,max_abs_alpha_over_A,t,G_lo,G_hi,G_n
5.0,search,pair,0.9677930348298259,0.7197872029936283,1.0,-1.4233580044261153e-17,-0.23806764796961177,-0.23806764796961177,-0.23806764796961177
5.0,search,single_unit,0.9677930348298257,0.7197872029946392,1.0,1.0,-0.23806764798365188,-0.23806764798365188,-0.23806764798365188
5.0,search,single_unit,0.9677930348298256,0.7197872029944586,1.0,1.0,-0.23806764798114488,-0.23806764798114488,-0.23806764798114488
5.0,search,single_unit,0.9677930348298258,0.7197872029944439,1.0,1.0,-0.23806764798094004,-0.23806764798094004,-0.23806764798094004
5.0,search,single_unit,0.9677930348298258,0.719787202998001,1.0,1.0,-0.23806764803034597,-0.23806764803034597,-0.23806764803034597
5.0,search,pair,0.9677930348298259,0.7197872029882998,1.0,2.2691172737991437e-17,-0.23806764789559853,-0.23806764789559853,-0.23806764789559853
5.0,search,single_unit,0.9677930348298256,0.7197872029946002,1.0,1.0,-0.23806764798310975,-0.23806764798310975,-0.23806764798310975
5.0,search,single_unit,0.9677930348298257,0.7197872029944606,1.0,-1.0,-0.23806764798117064,-0.23806764798117064,-0.23806764798117064
5.0,search,pair,0.9677930348298258,0.7197872029945467,1.0,2.6153598148929187e-18,-0.23806764798236657,-0.23806764798236657,-0.23806764798236657
5.0,search,pair,0.9677930348298259,0.7197872029970002,1.0,-1.0587879745210236e-17,-0.23806764801644487,-0.23806764801644487,-0.23806764801644487
5.0,search,single_unit,0.9677930348298258,0.7197872029944609,1.0,-1.0,-0.23806764798117397,-0.23806764798117397,-0.23806764798117397
5.0,search,single_unit,0.9677930348298256,0.7197872029943069,1.0,1.0,-0.2380676479790359,-0.2380676479790359,-0.2380676479790359
5.0,search,pair,0.9677930348298258,0.7197872029512468,1.0,2.899792964591133e-17,-0.238067647380944,-0.238067647380944,-0.238067647380944
5.0,search,single_unit,0.9677930348298256,0.7197872029944533,1.0,1.0,-0.23806764798106894,-0.23806764798106894,-0.23806764798106894
5.0,search,single_unit,0.9677930348298256,0.719787202994456,1.0,-1.0,-0.23806764798110502,-0.23806764798110502,-0.23806764798110502
5.0,search,single_unit,0.9677930348298257,0.7197872029944886,1.0,1.0,-0.23806764798156066,-0.23806764798156066,-0.23806764798156066
5.0,search,pair,0.9677930348298258,0.7197872030588535,1.0,5.998329745077905e-18,-0.23806764887556897,-0.23806764887556897,-0.23806764887556897
5.0,search,single_unit,0.9677930348298257,0.7197872029944592,1.0,-1.0,-0.23806764798115232,-0.23806764798115232,-0.23806764798115232
5.0,search,single_unit,0.9677930348298258,0.7197872029917025,1.0,-1.0,-0.23806764794286084,-0.23806764794286084,-0.23806764794286084
