configuration,amplitude,frequency,activation,width,depth,seed,eval_errors,dense_errors,regionally_separating,duration_seconds
A_a0.05,0.05,100.0,tanh,6,5,4,0,0.0,True,1.1088620410300791
A_a0.05,0.05,100.0,tanh,6,5,5,0,0.0,True,1.076534166932106
A_a0.05,0.05,100.0,tanh,6,5,6,0,0.0,True,1.0793239169288427
A_a0.05,0.05,100.0,tanh,6,5,7,0,0.0,True,1.101239541079849
A_a0.05,0.05,100.0,tanh,6,5,8,0,0.0,True,1.1684304580558091
A_a0.05,0.05,100.0,tanh,6,5,9,0,0.0,True,1.159345791907981
A_a0.05,0.05,100.0,tanh,6,5,10,0,0.0,True,1.0960367920342833
A_a0.05,0.05,100.0,tanh,6,5,11,0,0.0,True,1.179422833956778
A_a0.05,0.05,100.0,tanh,6,5,12,0,0.0,True,1.0859501669183373
A_a0.05,0.05,100.0,tanh,6,5,13,0,0.0,True,1.1783842910081148
A_a0.05,0.05,100.0,tanh,6,5,14,3,,False,1.1367508340626955
A_a0.05,0.05,100.0,tanh,6,5,15,0,0.0,True,1.1694662908557802
A_a0.05,0.05,100.0,tanh,6,5,16,0,0.0,True,1.1152697501238436
A_a0.05,0.05,100.0,tanh,6,5,17,0,0.0,True,1.0568265840411186
A_a0.05,0.05,100.0,tanh,6,5,18,0,0.0,True,1.064537666970864
A_a0.05,0.05,100.0,tanh,6,5,19,0,0.0,True,1.0554003329016268
A_a0.05,0.05,100.0,tanh,6,5,20,0,0.0,True,1.0518928330857307
A_a0.05,0.05,100.0,tanh,6,5,21,0,0.0,True,1.2159597920253873
A_a0.05,0.05,100.0,tanh,6,5,22,0,0.0,True,1.070180166978389
A_a0.05,0.05,100.0,tanh,6,5,23,0,0.0,True,1.0592977500054985
A_a0.05,0.05,100.0,tanh,6,5,24,0,0.0,True,1.151795499958098
A_a0.05,0.05,100.0,tanh,6,5,25,0,0.0,True,1.2272259169258177
A_a0.05,0.05,100.0,tanh,6,5,26,0,0.0,True,1.169094042154029
A_a0.05,0.05,100.0,tanh,6,5,27,0,0.0,True,1.0769765840377659
A_a0.05,0.05,100.0,tanh,6,5,28,0,0.0,True,1.056306750047952
A_a0.05,0.05,100.0,tanh,6,5,29,0,0.0,True,1.0592487500980496
A_a0.15,0.15,100.0,gelu,3,5,0,0,13.0,False,0.997719416860491
A_a0.15,0.15,100.0,gelu,3,5,1,32,,False,0.9961364581249654
A_a0.15,0.15,100.0,gelu,3,5,2,116,,False,0.9773180841002613
A_a0.15,0.15,100.0,gelu,3,5,3,88,,False,0.9857514158356935
A_a0.15,0.15,100.0,gelu,3,5,4,108,,False,1.0806417090352625
A_a0.15,0.15,100.0,gelu,3,5,5,60,,False,1.0312473340891302
A_a0.15,0.15,100.0,gelu,3,5,6,86,,False,1.0344240828417242
