i,o1,o2,K_lo,K_hi,u,v,argmax_near_box_edge,kappa0_lo,kappa0_hi
0.7,1.2,2.4,0.7059904720911674,0.7060385570768999,1.4495704650878907,1.2871650695800785,False,0.3744079877015673,0.37443348861618087
0.7,1.3,1.9,0.8692397991323552,0.8693139289817958,1.6457489013671875,1.2480438232421889,False,0.46098401733279054,0.4610233306222114
0.7,1.3,2.1,0.8595891584682349,0.8596714318057884,1.5505447387695315,1.2677993774414065,False,0.455865992240495,0.4559096242666662
0.7,1.3,2.5,0.8034852413616167,0.8035337689005436,1.383894348144531,-1.2989181518554676,False,0.4261123970625817,0.4261381326764689
0.7,1.5,2.1,1.044079230740957,1.0441573173087555,1.4840972900390625,1.2807220458984376,False,0.5537066281147235,0.5537480397709309
0.7,1.5,2.3,1.029922337352911,1.0300082098031433,1.4060287475585938,1.2950302124023445,False,0.5461988016283067,0.5462443423722141
0.7,1.5,2.7,0.9678146515161204,0.9678649524042612,1.267817687988281,1.3181289672851573,False,0.5132612272640581,0.513287903338386
0.8,1.0,1.6,0.31814494557244805,0.31817468494644635,1.7532508850097657,1.1594123840332036,False,0.1687218363108773,0.16873760799564413
0.8,1.0,1.8,0.31814494557244805,0.31816303668313833,1.7532508850097657,1.1594123840332036,False,0.1687218363108773,0.16873143057116352
0.8,1.0,2.2,0.30695003250974573,0.30697271021645856,1.573761749267578,1.213108062744142,False,0.1627848371048043,0.1627968637749531
0.8,1.1,1.7,0.4555466108625168,0.45557809803411387,1.6830604553222657,1.1813941955566412,False,0.24159007326557622,0.2416067718599937
