dataset,depth,width,activation,seed,train_data_seed,eval_data_seed,n_train_per_class,n_eval_per_class,tube_radius,passed,failure_reason,final_train_accuracy,final_eval_accuracy,max_steps,learning_rate,train_accuracy_required,eval_accuracy_required,initialization_scheme,initialization_gain,duration_seconds
linked_tori,10,30,tanh,3,10003,20003,1000,1000,0.2,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,4.28549399995245
linked_tori,10,30,tanh,4,10004,20004,1000,1000,0.2,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,4.846804791945033
linked_tori,10,50,tanh,0,10000,20000,1000,1000,0.2,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,6.524500250001438
linked_tori,10,50,tanh,1,10001,20001,1000,1000,0.2,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,6.286850666045211
linked_tori,10,50,tanh,2,10002,20002,1000,1000,0.2,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,6.459582332987338
linked_tori,10,50,tanh,3,10003,20003,1000,1000,0.2,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,6.476914791972376
linked_tori,10,50,tanh,4,10004,20004,1000,1000,0.2,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,7.578447500010952
blobs,4,5,tanh,0,10000,20000,1000,1000,,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.5808912500506267
blobs,4,5,tanh,1,10001,20001,1000,1000,,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9046335410093889
blobs,4,5,tanh,2,10002,20002,1000,1000,,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9000926669687033
blobs,4,5,tanh,3,10003,20003,1000,1000,,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.887746834079735
blobs,4,5,tanh,4,10004,20004,1000,1000,,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.8898440829943866
blobs,4,15,tanh,0,10000,20000,1000,1000,,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.250161416013725
blobs,4,15,tanh,1,10001,20001,1000,1000,,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.2711214169394225
blobs,4,15,tanh,2,10002,20002,1000,1000,,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.291842708014883
blobs,4,15,tanh,3,10003,20003,1000,1000,,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.2510584170231596
blobs,4,15,tanh,4,10004,20004,1000,1000,,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.2536778330104426
blobs,4,30,tanh,0,10000,20000,1000,1000,,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.9686382910003886
blobs,4,30,tanh,1,10001,20001,1000,1000,,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.8593210839899257
blobs,4,30,tanh,2,10002,20002,1000,1000,,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,2.114502083044499
blobs,4,30,tanh,3,10003,20003,1000,1000,,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.9151066249469295
blobs,4,30,tanh,4,10004,20004,1000,1000,,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.8618273340398446
blobs,4,50,tanh,0,10000,20000,1000,1000,,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,2.731435124995187
blobs,4,50,tanh,1,10001,20001,1000,1000,,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,2.66339795908425
