seed,stage,steps,w1,b1,b2,loss,gap,solves,degenerate,status,a,kind,s,frozen_reproduced,grad_norm
15,screen,600,-1.0734055852822892,-2.211119685162245,4.112310228651313,0.4703616581893774,-0.42152786996853653,False,False,carried,1.35,solve,1.5,True,1.1133195404755306e-08
16,screen,600,3.832403056905982e-14,-0.08465110524114447,0.2981904939385884,0.6931471805599453,-2.5163204853129173e-13,False,True,degenerate,1.35,solve,1.5,True,1.7508248141558455e-13
17,screen,600,-4.2696561314849675e-15,-0.1585417425226971,0.5575163862589618,0.6931471805599452,-2.786659791809143e-14,False,True,degenerate,1.35,solve,1.5,True,2.4050984046736338e-14
18,screen,600,-1.9701637816773652e-16,-0.0043016506116119015,0.015163291541432455,0.6931471805599453,-1.2958384365546749e-15,False,True,degenerate,1.35,solve,1.5,True,1.583201061219665e-15
19,screen,600,1.0734056884535796,-2.2111195225712557,4.112309475358611,0.47036165818941456,-0.42152821004861707,False,False,carried,1.35,solve,1.5,True,1.071243673808015e-07
20,screen,600,1.073429896882946,-2.2110833355932855,4.112122395458922,0.4703616610049245,-0.4216065149905397,False,False,carried,1.35,solve,1.5,True,2.927346765988134e-05
21,screen,600,4.319592768913114e-16,0.5399373828359841,-1.8509226980580409,0.6931471805599453,-2.6645352591003757e-15,False,True,degenerate,1.35,solve,1.5,True,5.159531025727525e-15
22,screen,600,1.1167801546244887e-15,0.47641166238175375,-1.6432690721837981,0.6931471805599452,-6.8833827526759706e-15,False,True,degenerate,1.35,solve,1.5,True,5.627834445048299e-15
23,screen,600,-1.0735470104760694,-2.2108913066998457,4.111236480363684,0.470361750899648,-0.421998311093581,False,False,carried,1.35,solve,1.5,True,0.00016764954431688285
15,full,3600,-1.0734055945862893,-2.2111196719938837,4.112310157440709,0.470361658189377,-0.42152789949988057,False,False,RETAINED,1.35,solve,1.5,True,2.440511229457503e-16
19,full,3600,1.0734055945862886,-2.2111196719938837,4.112310157440709,0.47036165818937703,-0.42152789949987923,False,False,not lowest,1.35,solve,1.5,True,5.656745220591337e-16
1,full,3600,1.0734055945862888,-2.2111196719938837,4.112310157440709,0.47036165818937703,-0.4215278994998797,False,False,not lowest,1.35,solve,1.5,True,3.2251484859133177e-16
5,full,3600,1.073405594586289,-2.211119671993884,4.11231015744071,0.47036165818937703,-0.4215278994998801,False,False,not lowest,1.35,solve,1.5,True,1.455191583038227e-16
9,full,3600,1.0734055945862893,-2.211119671993884,4.11231015744071,0.47036165818937703,-0.4215278994998801,False,False,not lowest,1.35,solve,1.5,True,3.398005845231704e-16
20,full,3600,1.073405594586289,-2.2111196719938833,4.112310157440708,0.47036165818937703,-0.42152789949988057,False,False,not lowest,1.35,solve,1.5,True,4.1049154265182886e-16
7,full,3600,1.073405594586289,-2.211119671993884,4.112310157440709,0.47036165818937703,-0.4215278994998801,False,False,not lowest,1.35,solve,1.5,True,2.064808314308904e-16
23,full,3600,-1.0734055945862888,-2.2111196719938837,4.11231015744071,0.470361658189377,-0.4215278994998797,False,False,not lowest,1.35,solve,1.5,True,3.2203971186589694e-16
-1,constant,0,0.0,0.0,0.0,0.6931471805599453,0.0,False,True,constant predictor (exact),1.35,solve,1.5,True,0.0
0,screen,600,-4.788035260060778e-15,0.4150321486373006,-10.55316098132026,0.6931471805599452,-3.008704396734174e-14,False,True,degenerate,1.35,glob,11.0,True,7.32502466878219e-12
1,screen,600,1.2683795153843398,-1.773948751365913,8.066731799465371,6.260738794178832,-1.399825828610139,False,False,not carried (screen rank > 8),1.35,glob,11.0,True,0.25204337029430346
2,screen,600,6.875756947438865e-16,-0.14876457996583278,3.837424976120472,0.6931471805599453,-4.551914400963142e-15,False,True,degenerate,1.35,glob,11.0,True,6.455785505529635e-13
3,screen,600,-1.323856419792064,-1.6702424339402346,4.424293412643902,7.179782762071684,-1.7150997874943483,False,False,not carried (screen rank > 8),1.35,glob,11.0,True,0.25615454189432657
4,screen,600,2.7711723289144525e-15,0.35844287256013263,-9.152496566269942,0.6931471805599453,-1.765254609153999e-14,False,True,degenerate,1.35,glob,11.0,True,6.169015389108706e-13
5,screen,600,1.1294288119960245,-2.0036168144747903,18.361707573671342,3.6657768809945153,-0.7645796828324256,False,False,carried,1.35,glob,11.0,True,0.25359663747463335
6,screen,600,9.141996443317232e-16,-0.38895310523433463,9.90990003648397,0.6931471805599453,-5.773159728050814e-15,False,True,degenerate,1.35,glob,11.0,True,2.992925277999386e-13
7,screen,600,1.2154342991003881,-1.8645973557635318,12.470344714510285,5.150889939939468,-1.1361963539087951,False,False,not carried (screen rank > 8),1.35,glob,11.0,True,0.2536873035017077
8,screen,600,7.396958139848286e-14,3.8782166556089233,-0.7039745371577542,15.990156121785512,0.0,False,True,degenerate,1.35,glob,11.0,True,0.49999999999998723
9,screen,600,1.2537617612638625,-1.7985550448021559,9.326403405058157,5.9432393058471416,-1.3262447982291161,False,False,not carried (screen rank > 8),1.35,glob,11.0,True,0.2523562961818929
10,screen,600,-3.959578911979279e-16,0.14894958640575262,-3.8421770103182595,0.6931471805599453,-2.609024107869118e-15,False,True,degenerate,1.35,glob,11.0,True,5.570550302108992e-13
11,screen,600,9.021451315490858e-15,-0.45688835216884344,11.57696464587031,0.6931471805599452,-5.573319583618286e-14,False,True,degenerate,1.35,glob,11.0,True,2.7241943540559768e-12
12,screen,600,-1.2933933048847008,-1.730343136681085,7.961869860635751,6.289341409950896,-1.5321321865379187,False,False,not carried (screen rank > 8),1.35,glob,11.0,True,0.26031359906933166
13,screen,600,3.02072792754706e-15,-0.34252627649764317,8.755424154713026,0.6931471805599453,-1.9317880628477724e-14,False,True,degenerate,1.35,glob,11.0,True,3.806919046391084e-12
14,screen,600,-2.319833949681708e-16,-3.87821665560892,19.990557188702496,6.346867866325885,0.0,False,True,degenerate,1.35,glob,11.0,True,0.4999969296919592
15,screen,600,-1.1497989139399794,-1.9756630445062981,16.70601160080161,4.08287988889995,-0.8382098167332055,False,False,carried,1.35,glob,11.0,True,0.25205072223854075
