a,seed,arm,budget,placed_at,placed,gap_final,w2_final,R_final,loss_final,grad_100,grad_500,grad_2000,grad_8000,grad_11999
1.3,21,jump,12000,,False,-0.02812729359668742,5.626444274200366,0.2413269203435207,0.6925713840816085,0.025711792906858377,1.802969299176399e-05,1.7973519117061297e-05,1.6588985950207197e-05,9.726144902089964e-06
1.3,22,jump,12000,,False,-0.010708120677744848,6.018755088434547,0.2581537395569838,0.6930469572051606,5.539075334318834,9.234954984616424e-06,9.228276939616424e-06,9.060532687421149e-06,1.5422799750176696e-05
1.3,23,jump,12000,,False,-0.010446258989957213,5.652141323781941,0.2424291066507543,0.6930622394455023,0.02633282008201677,4.496592556190808e-06,4.494076768969145e-06,1.0558828563929775e-05,0.0006171381375594404
1.3,24,jump,12000,,False,-0.05357598294944277,4.419264157096264,0.18954909304031387,0.6919082569244773,0.23840065479167422,1.3384737148637088e-05,1.3390018393109058e-05,0.012451609521020084,1.6766026591435554e-05
1.3,25,jump,12000,11750.0,True,0.02172533819261213,6.912585140393983,0.2964914966265703,0.27686528888265394,0.7456706295334197,5.019121714751562e-05,5.045156441854961e-05,6.52981623503143e-05,0.007983234876337869
1.3,26,jump,12000,,False,-0.010394762955090009,4.655404453073239,0.1996775165383374,0.6930886494620111,0.17592180862088816,6.381548196089133e-07,6.381881958661412e-07,6.200455517686444e-07,0.005655830837532517
1.3,27,jump,12000,11150.0,True,0.0382461436386623,6.807205683366629,0.29197160829345464,0.2674383681849506,0.7894306565522882,0.6032106886614901,0.382735478533555,0.014215631839251753,0.007521641892726678
1.3,28,jump,12000,10600.0,True,0.06134602335653261,10.468062074770987,0.4489914161334722,0.21119314047950483,1.3999461344296982,9.350097167400595e-05,9.436521409916884e-05,0.0003664125489429402,0.005797244878321483
1.3,29,jump,12000,,False,-0.019786816665097295,4.540600589617045,0.19475340079823103,0.6929684877414607,0.8717586585095137,2.351965267182247e-06,2.3528052600920845e-06,2.367517204094019e-06,1.0306691460301976e-05
1.3,30,jump,12000,1200.0,True,0.0823749273697083,23.81784243734373,1.0215841985653136,0.06862113327795867,4.016242100419878,1.7141198380103675,0.004114423198049571,0.002818499445079477,0.0017740755923336669
