a,seed,precision,exact_sep,grid_solved,agree,exact_gap,grid_gap,certified,inner_max_logit,outer_min_logit
1.02,59,float64,False,False,True,-0.06906378308746663,-0.0691445974429823,False,0.007277851997167906,-0.020088139426970908
1.02,60,float32,False,False,True,-0.5288921304379466,-0.5288921304379466,False,0.26200479178485736,-0.7881697244736525
1.02,60,float64,False,False,True,-0.202297633155595,-0.2035648904711436,False,0.02472757117884622,-0.06691267215269261
1.02,61,float32,False,False,True,-0.4084839301697407,-0.4084839301697407,False,0.21890240097287084,-0.9087355841312164
1.02,61,float64,False,False,True,-0.13633602873646433,-0.1367194500232308,False,0.027496347383979658,-0.07450257159701032
1.02,62,float32,False,False,True,-0.5933729325849124,-0.593372932584912,False,0.30628513193750617,-1.0155031335405438
1.02,62,float64,False,False,True,-0.563613710656337,-0.563613710656337,False,0.30603991100493033,-1.0136535080099849
1.02,63,float32,False,False,True,-0.41546418830250076,-0.4154641883025007,False,0.2587913172638441,-0.9419617432851854
1.02,63,float64,False,False,True,-0.39032642688871233,-0.3903264268887123,False,0.25693492730428247,-0.9424013957447528
1.02,64,float32,False,False,True,-0.8051105009153794,-0.8051105009153794,False,0.25691824223963167,-1.1707389496698974
1.02,64,float64,False,False,True,-0.5977763864030949,-0.5977763864030949,False,0.2455492788505742,-1.170448155795735
1.02,65,float32,False,False,True,-0.06797827906209211,-0.0680065816504722,False,0.005133742269493639,-0.0130060836407144
1.02,65,float64,False,False,True,-0.034424300739321206,-0.0344346591543673,False,0.005315523175467268,-0.013299289882213447
1.02,66,float32,False,False,True,-0.07249558428492064,-0.0728773845860901,False,0.004270205052512521,-0.010732863564763356
1.02,66,float64,False,False,True,-0.7843194253604295,-0.7843194253604295,False,0.2658257429900588,-0.8336522591837374
1.02,67,float32,False,False,True,-0.40896814704040185,-0.4089681470404018,False,0.22696769942261685,-0.9294895274700039
1.02,67,float64,False,False,True,-0.5309633161748049,-0.5309633161748049,False,0.23209955713648966,-0.9306163140790211
1.02,68,float32,False,False,True,-0.09213113199272155,-0.0922196890109373,False,0.017843640687127266,-0.0479648277370686
1.02,68,float64,False,False,True,-0.09347948223948477,-0.0937691868608157,False,0.015546479497754007,-0.04180206573217016
1.02,69,float32,False,False,True,-0.5305325607668632,-0.5305325607668632,False,0.23881676080041547,-0.8603074550852172
1.02,69,float64,False,False,True,-0.35596852077121355,-0.3559685207712135,False,0.23038531039646593,-0.8605370282179265
1.02,70,float32,False,False,True,-0.11792046998638692,-0.1180055965542053,False,0.027449510786345346,-0.07140394735835368
