activation,width,depth,seed,layer,final_layer,distortion,native_min_distance,reportable_native,rand_n,rand_n_reportable,rand_frac_zero_all,rand_frac_zero_reportable,rand_any_nonzero_reportable,rand_distinct_all,rand_distinct_reportable,rand_min_proj_dist,rand_median_proj_dist,pca_n,pca_n_reportable,pca_frac_zero_all,pca_frac_zero_reportable,pca_any_nonzero_reportable,pca_distinct_all,pca_distinct_reportable,pca_min_proj_dist,pca_median_proj_dist
gelu,7,12,0,1,False,0.7366130636155593,0.23955665857065492,True,48,32,0.6041666666666666,0.65625,True,"(-1, 0, 1)","(-1, 0, 1)",0.003321745826391328,0.03407530064866761,20,10,0.75,0.9,True,"(-2, -1, 0, 1)","(-1, 0)",0.002857485169749859,0.02207699236593281
gelu,7,12,0,2,False,0.5362575306604512,0.18090254117172025,True,48,32,0.8541666666666666,0.9375,True,"(-1, 0, 1)","(-1, 0, 1)",0.003922507290550587,0.05260064592493255,20,12,0.65,0.8333333333333334,True,"(-1, 0, 1)","(0, 1)",0.005072047316101617,0.021766581429310983
gelu,7,12,0,3,False,0.850645112158478,0.29536252741986596,True,48,43,1.0,1.0,False,"(0,)","(0,)",0.00599252914043775,0.13602958051933423,20,8,0.75,1.0,False,"(-3, -1, 0, 1)","(0,)",0.0005122033322808027,0.011906735081676507
gelu,7,12,0,4,False,0.9661091730923399,0.3228085377657318,True,48,46,0.9791666666666666,1.0,False,"(0, 1)","(0,)",0.01586146866544364,0.14672280226226103,20,12,0.7,0.9166666666666666,True,"(-3, -1, 0, 1)","(0, 1)",0.0023810520660644246,0.03628718893373143
gelu,7,12,0,5,False,0.9775293738081449,0.32357753731785277,True,48,45,1.0,1.0,False,"(0,)","(0,)",0.008913772764358474,0.15197992528448218,20,13,0.75,0.9230769230769231,True,"(-1, 0, 1, 25)","(-1, 0)",0.0014046275756389674,0.06683519032917372
gelu,7,12,0,6,False,0.9961895200982659,0.2953913530554621,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.022711669455306827,0.17333895800966387,20,12,0.75,1.0,False,"(-1, 0, 3, 8)","(0,)",0.0019474719224666826,0.035682510094739564
gelu,7,12,0,7,False,0.999141241118403,0.6588841943793334,True,48,47,1.0,1.0,False,"(0,)","(0,)",0.01858006449817434,0.3467634273100554,20,12,0.85,1.0,False,"(-2, 0, 1, 3)","(0,)",0.003420302398261991,0.10736648967253648
gelu,7,12,0,8,False,0.9998139040166008,1.758282344516767,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.2702917732932302,1.066546970067902,20,13,0.9,1.0,False,"(-1, 0)","(0,)",0.002145042984958869,0.07559458138785026
gelu,7,12,0,9,False,0.9999459373466917,4.580762058743766,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.9247479973776931,2.612146680742952,20,12,0.8,1.0,False,"(-2, -1, 0, 6)","(0,)",0.0004679569811139349,1.6420183289524457
gelu,7,12,0,10,False,0.9999913160031294,7.233495059047249,True,48,48,1.0,1.0,False,"(0,)","(0,)",1.156872836288456,4.3879538262921525,20,10,0.85,1.0,False,"(-1, 0, 1)","(0,)",0.0005930549270771952,2.277409157025533
gelu,7,12,0,11,False,0.9999956109414512,12.212507413422786,True,48,48,1.0,1.0,False,"(0,)","(0,)",1.6378368930171663,7.789420068304187,20,10,0.8,1.0,False,"(-1, 0, 1)","(0,)",0.0011933494636200493,4.651320612444166
gelu,7,12,0,12,True,0.9999989900944729,15.53473139872266,True,48,48,1.0,1.0,False,"(0,)","(0,)",2.735372700774107,9.315206350208582,20,11,0.7,1.0,False,"(0, 1, 3)","(0,)",0.00012349891868439393,6.282953855486865
gelu,8,12,0,1,False,0.6524781691207844,0.32069988668941746,True,48,44,0.6875,0.7045454545454546,True,"(-1, 0, 1)","(-1, 0, 1)",0.010974878383600775,0.06651820607574291,20,10,0.45,0.5,True,"(-2, -1, 0, 1)","(-1, 0, 1)",0.004728799223657512,0.01911875475382096
