a,seed,precision,w1,b1,w2,b2,solved
1.02,108,float64,-0.011492825143664514,-0.014218769074776288,-0.8807106759639753,-0.02574121347712455,False
1.02,109,float32,0.8281954526901245,-2.3568878173828125,2.4227755069732666,6.802553653717041,False
1.02,109,float64,-0.7579148190824558,2.4256573763831777,-3.1480334961326366,9.079391702580159,False
1.02,110,float32,0.8224246501922607,-2.4095664024353027,2.4670181274414062,7.000115394592285,False
1.02,110,float64,-0.9153863923836587,2.323660006386469,-1.8015727437174098,4.913602720328467,False
1.02,111,float32,0.9106171727180481,2.3180816173553467,-1.6524525880813599,4.500196933746338,False
1.02,111,float64,0.009969872680224966,-0.24566926383928325,-0.6116620676531689,-0.3029090006328926,False
1.02,112,float32,-0.9268219470977783,-2.252704620361328,1.5803767442703247,4.291119575500488,False
1.02,112,float64,-0.8635564331513683,-2.3145548541286654,1.9468837832224462,5.434970005507024,False
1.02,113,float32,-0.8440651297569275,-2.35066556930542,2.321530818939209,6.447737216949463,False
1.02,113,float64,0.9395407037256446,2.2583647521992494,-1.7061850747235812,4.518248524478637,False
1.02,114,float32,0.8188207149505615,-2.356125593185425,2.0537970066070557,5.823492527008057,False
1.02,114,float64,-0.0011909327130538003,-0.5397143562651114,-0.49713487008351204,-0.5288488605034894,False
1.02,115,float32,-0.8702431917190552,-2.310946464538574,1.9631832838058472,5.423651218414307,False
1.02,115,float64,0.7175447888121177,2.4600758093922943,-3.4876272055590154,10.200898997562355,False
1.02,116,float32,-0.7151530385017395,2.4958133697509766,-3.2651898860931396,9.653151512145996,False
1.02,116,float64,-0.8372215047935223,-2.3690587114206068,2.269036253894757,6.430057964336062,False
1.02,117,float32,0.01022751722484827,-0.3516930043697357,-0.30120939016342163,-0.2119385451078415,False
1.02,117,float64,0.004637046476219544,-0.698190392294997,-0.7565270667986354,-1.0244154363084383,False
1.02,118,float32,-0.7700740694999695,2.4441580772399902,-3.2727468013763428,9.330575942993164,False
1.02,118,float64,-1.056892122163391,2.1744778083990934,-1.3226245800241798,3.2160857170033537,False
1.02,119,float32,-0.8390162587165833,2.353099822998047,-2.05783748626709,5.769576072692871,False
1.02,119,float64,0.8984654693698678,-2.2949977241149693,1.6844639264379904,4.598288472500929,False
1.02,120,float32,-0.04071377217769623,0.029445938766002655,-0.6474841833114624,0.040545303374528885,False
1.02,120,float64,-0.026375424680585745,-0.07076413657676847,-0.9506865840748789,-0.13351237289417528,False
1.02,121,float32,-0.0059799193404614925,-0.15840788185596466,0.7379094958305359,0.23555098474025726,False
1.02,121,float64,0.027558966861277415,0.06034402058774485,-0.16814994862141622,0.02018974139683438,False
1.02,122,float32,-0.940334141254425,-2.28739857673645,1.6796776056289673,4.535126686096191,False
1.02,122,float64,0.056173688534236245,0.00024718476623920914,-0.6789485303459216,-0.007745842512648803,False
1.02,123,float32,-0.7914583683013916,2.3844847679138184,-2.6339476108551025,7.544636249542236,False
1.02,123,float64,-1.5715520828443026,1.7475061565960412,-0.39564721343921333,0.6914566764437311,False
1.02,124,float32,-0.7945285439491272,-2.405413866043091,2.5644845962524414,7.365524768829346,False
1.02,124,float64,0.8688090497042826,2.334195133181021,-1.9689832622291012,5.497273624383393,False
1.02,125,float32,-0.010361773893237114,0.27861541509628296,0.3241135776042938,-0.18130245804786682,False
1.02,125,float64,0.8107780586821693,2.3638184710084826,-2.198463897143224,6.235560072155182,False
1.02,126,float32,0.8713559508323669,-2.3202929496765137,1.916837453842163,5.3036370277404785,False
1.02,126,float64,-0.8012738170320141,2.3877525066717284,-2.458168336319254,6.996105948633651,False
1.02,127,float32,-0.7777300477027893,-2.389808177947998,2.482865333557129,7.1526970863342285,False
1.02,127,float64,0.01220526181041008,0.23509825452462071,0.27488448857405373,-0.13007424516903138,False
