a,seed,optimiser,cross_step,cross_w2,cross_R,local_rate,final_placed,final_solved,R_final
1.25,45,adam,4625.0,7.194005735153717,0.23828831706579465,0.0022097556284042677,True,True,1.5297635411503399
1.25,46,adam,5050.0,7.841478861010581,0.2597346832747958,0.0026009581789815986,True,True,1.5270425584253893
1.25,47,adam,3975.0,7.340647540836614,0.2431455593830918,0.0023340006511322225,True,True,1.6018802671470027
1.25,48,adam,6675.0,6.693453887496363,0.22170845019140492,0.0029106480259932246,True,True,1.3584200693691915
1.25,49,adam,4150.0,6.312631599256959,0.20909440656863132,0.0021235464451638507,True,True,1.5383036949429614
1.25,50,adam,4300.0,7.261419532149946,0.24052127611873922,0.0027131647938365075,True,True,1.5784196724953758
1.25,51,adam,2700.0,5.932050177232862,0.1964883411998648,0.002350592414323509,True,True,1.6508518183959477
1.25,52,adam,3025.0,6.8137024284246674,0.22569146375885388,0.00265612290486166,True,True,1.6753484085549555
1.25,53,adam,3550.0,7.353353450350908,0.24356641945832866,0.002411631197117311,True,True,1.6343175440440623
1.25,54,adam,4275.0,7.29363356395509,0.24158830715921248,0.002489732379396094,True,True,1.5727610637561091
1.25,55,adam,6675.0,6.349277717255418,0.21030824237948928,0.002915552394567686,True,True,1.3495103880984078
1.25,56,adam,4050.0,7.418024744718386,0.24570853811441887,0.002306380144357579,True,True,1.5805995168361213
1.25,57,adam,6150.0,6.805535584944412,0.22542095196607892,0.002899383467492111,True,True,1.4055748493289648
1.25,58,adam,3875.0,6.53145123158633,0.21634240773075544,0.0025148996301310915,True,True,1.581671538750315
1.25,59,adam,8650.0,6.0447810248212726,0.20022234488879415,0.002995594112780325,True,True,1.1756250435343623
1.25,0,adamw,5050.0,6.264091573198828,0.2074866067495122,0.001785519088254475,True,True,0.7977595224492577
1.25,1,adamw,3825.0,6.717964269433209,0.2225203118825669,0.0018351824539981731,True,True,0.827033813476398
1.25,2,adamw,2775.0,6.417644543827832,0.21257276879868062,0.0019795367881928812,True,True,0.8445279538578179
1.25,3,adamw,4675.0,7.608252998880812,0.25200950202958877,0.0018148762715876825,True,True,0.8209315959121861
1.25,4,adamw,13225.0,5.7758389111834765,0.1913141279640131,0.0025481523765673144,True,True,0.5594038568477382
1.25,5,adamw,3575.0,6.935429052404864,0.22972343613115864,0.001931100720021231,True,True,0.8369185824720703
1.25,6,adamw,4450.0,6.189090069459099,0.2050023187517682,0.002323261802099886,True,True,0.8144954589783432
1.25,7,adamw,2850.0,6.638234363984385,0.21987940420350047,0.0019591630273524687,True,True,0.8450166504402127
1.25,8,adamw,13575.0,6.4162646724530825,0.2125270630764778,0.002406947492524998,True,True,0.5570533544673184
1.25,9,adamw,4200.0,7.596275379895273,0.2516127652496092,0.0018212947001458187,True,True,0.8285142536979561
1.25,10,adamw,3175.0,6.866208392647822,0.22743062804524225,0.0019000993402835556,True,True,0.8407736382899511
1.25,11,adamw,4475.0,7.103905359144359,0.23530390646665486,0.002185343762249468,True,True,0.8268498852460516
1.25,12,adamw,2900.0,6.241740300193516,0.20674626160317908,0.0019357544105723574,True,True,0.8414934506333377
1.25,13,adamw,5300.0,7.404909390062259,0.2452741159157462,0.001889487377894807,True,True,0.8079430628047694
1.25,14,adamw,6325.0,6.281253109586695,0.20805505133722574,0.0022188349379932727,True,True,0.7758951968299483
1.25,15,adamw,3875.0,6.570435708204979,0.2176336974054015,0.0018996734352973994,True,True,0.8243484675515699
1.25,16,adamw,4000.0,6.597062912139079,0.2185156749638318,0.0024435799391477426,True,True,0.8331902938870567
1.25,17,adamw,13450.0,6.941913057286571,0.22993820696509867,0.0022862168365911273,True,True,0.5710630879736811
1.25,18,adamw,3825.0,6.916588418728453,0.2290993745086794,0.0018164141408130703,True,True,0.8282616162151215
1.25,19,adamw,3175.0,6.483273234125196,0.21474659944851912,0.001981317324508372,True,True,0.8427479743012546
1.25,20,adamw,4800.0,7.346635198943949,0.24334388963553935,0.0017909759597064163,True,True,0.8160247156389548
1.25,21,adamw,7575.0,7.133160558938716,0.23627293159411009,0.002052072488915655,True,True,0.7534257370607365
1.25,22,adamw,4900.0,6.530152855569256,0.21629940139361625,0.0017217778825103247,True,True,0.8026482841950343
1.25,23,adamw,3525.0,7.173246426584381,0.23760070283742887,0.0020636851206984426,True,True,0.8378501891265722
1.25,24,adamw,3825.0,7.36294028264199,0.24388396579019644,0.001996667941249299,True,True,0.8359641117391313
1.25,25,adamw,5825.0,7.6165414713677135,0.2522840425613399,0.0017714709091500352,True,True,0.797350831522944
1.25,26,adamw,3900.0,7.22960941845703,0.2394676241289282,0.002309941383183561,True,True,0.8398485490500869
1.25,27,adamw,4550.0,6.7486151990065455,0.223535568012937,0.001716304217884756,True,True,0.8121054009151156
1.25,28,adamw,4550.0,7.533034441182616,0.24951802451540847,0.0018166069058503282,True,True,0.8240618638007156
1.25,29,adamw,6675.0,6.766497710641993,0.22412789359056307,0.0020938513135889433,True,True,0.771950721162147
