seed,raw_distance,normalized_distance,init_norm,a,kind
95,6017.884765625,1.0000705953492433,2.79429030418396,1.05,constructed
96,6017.05126953125,0.9999320824053831,2.4763128757476807,1.05,constructed
97,6017.18896484375,0.9999549650358276,2.551126003265381,1.05,constructed
98,6017.62060546875,1.0000266964021851,2.6913421154022217,1.05,constructed
99,6017.646484375,1.0000309970384034,2.403317451477051,1.05,constructed
100,6017.6435546875,1.0000305101739257,2.343461275100708,1.05,constructed
101,6017.671875,1.0000352165305422,2.5556869506835938,1.05,constructed
102,6017.81298828125,1.0000586671695435,2.123530149459839,1.05,constructed
103,6017.35546875,0.9999826351669677,2.592888116836548,1.05,constructed
104,6017.0869140625,0.9999380059231933,2.5976734161376953,1.05,constructed
105,6017.2568359375,0.9999662440628906,2.4749653339385986,1.05,constructed
106,6017.4365234375,0.9999961050841797,2.517845630645752,1.05,constructed
107,6017.169921875,0.9999518004167235,2.3645992279052734,1.05,constructed
108,6017.9951171875,1.0000889339112307,2.6566214561462402,1.05,constructed
109,6017.544921875,1.0000141190698486,2.4704535007476807,1.05,constructed
110,6017.80908203125,1.0000580180169067,2.2648489475250244,1.05,constructed
111,6017.36181640625,0.9999836900400024,2.1950840950012207,1.05,constructed
112,6017.5498046875,1.0000149305106445,2.3101742267608643,1.05,constructed
113,6017.44189453125,0.9999969976690551,2.579620122909546,1.05,constructed
114,6017.18212890625,0.9999538290187133,2.57759690284729,1.05,constructed
115,6017.79296875,1.0000553402622805,2.4652881622314453,1.05,constructed
116,6017.45361328125,0.9999989451269653,2.617765188217163,1.05,constructed
117,6017.80615234375,1.0000575311524293,2.4905707836151123,1.05,constructed
118,6017.3642578125,0.9999840957604004,2.4404051303863525,1.05,constructed
119,6018.01708984375,1.0000925853948122,2.577219247817993,1.05,constructed
120,6017.67236328125,1.0000352976746216,2.6600852012634277,1.05,constructed
121,6017.00341796875,0.9999241302855834,2.6569833755493164,1.05,constructed
122,6017.41650390625,0.9999927781769165,2.3321640491485596,1.05,constructed
123,6017.1826171875,0.9999539101627929,2.772493362426758,1.05,constructed
124,6017.16455078125,0.999950907831848,2.6402318477630615,1.05,constructed
125,6017.2451171875,0.9999642966049804,2.6540040969848633,1.05,constructed
126,6018.01806640625,1.0000927476829713,2.3078243732452393,1.05,constructed
127,6017.0703125,0.9999352470244872,2.573352813720703,1.05,constructed
128,6018.0439453125,1.0000970483191896,2.513328790664673,1.05,constructed
129,6017.439453125,0.9999965919486572,2.5051636695861816,1.05,constructed
130,6017.166015625,0.9999511512640868,2.58758282661438,1.05,constructed
131,6017.7353515625,1.0000457652608887,2.6413440704345703,1.05,constructed
132,6017.11181640625,0.9999421442712523,2.542044162750244,1.05,constructed
133,6017.54296875,1.0000137944935303,2.4991085529327393,1.05,constructed
134,6017.703125,1.0000404097516358,2.5225398540496826,1.05,constructed
135,6016.9814453125,0.9999204788020017,2.52347993850708,1.05,constructed
136,6017.4130859375,0.9999922101683594,2.6513009071350098,1.05,constructed
137,6016.916015625,0.9999096054953367,2.547349452972412,1.05,constructed
138,6016.92529296875,0.9999111472328489,2.426581859588623,1.05,constructed
139,6017.521484375,1.0000102241540283,2.4286787509918213,1.05,constructed
140,6017.244140625,0.9999641343168212,2.280378818511963,1.05,constructed
141,6017.837890625,1.0000628055176026,2.5239782333374023,1.05,constructed
142,6016.8515625,0.9998988944768309,2.5665571689605713,1.05,constructed
143,6017.6279296875,1.000027913563379,2.4383156299591064,1.05,constructed
144,6017.81787109375,1.0000594786103394,2.472851514816284,1.05,constructed
145,6016.9326171875,0.9999123643940427,2.579667329788208,1.05,constructed
146,6017.17626953125,0.9999528552897582,2.486424207687378,1.05,constructed
147,6016.8701171875,0.9999019779518553,2.610217571258545,1.05,constructed
148,6017.74755859375,1.0000477938628785,2.3223183155059814,1.05,constructed
149,6017.80712890625,1.0000576934405885,2.6359307765960693,1.05,constructed
150,6017.31982421875,0.9999767116491577,2.2395379543304443,1.05,constructed
151,6017.0439453125,0.9999308652441893,2.3642263412475586,1.05,constructed
152,6017.31103515625,0.999975251055725,2.3978772163391113,1.05,constructed
153,6017.61865234375,1.0000263718258668,2.6448700428009033,1.05,constructed
154,6017.24560546875,0.99996437774906,2.2920830249786377,1.05,constructed
155,6017.00830078125,0.9999249417263792,2.8553810119628906,1.05,constructed
156,6017.68505859375,1.000037407420691,2.634429693222046,1.05,constructed
157,6017.71484375,1.000042357209546,2.4391751289367676,1.05,constructed
158,6017.76513671875,1.0000507150497437,2.559520959854126,1.05,constructed
159,6017.31396484375,0.9999757379202026,2.4095773696899414,1.05,constructed
160,6017.912109375,1.0000751394177003,2.5965523719787598,1.05,constructed
161,6017.423828125,0.9999939953381103,2.661193609237671,1.05,constructed
162,6017.82373046875,1.0000604523392946,2.509643316268921,1.05,constructed
163,6017.4580078125,0.9999996754236816,2.6036312580108643,1.05,constructed
164,6017.82861328125,1.0000612637800905,2.5479793548583984,1.05,constructed
165,6018.04736328125,1.0000976163277469,2.661482095718384,1.05,constructed
166,6017.009765625,0.9999251851586181,2.557969808578491,1.05,constructed
167,6017.8017578125,1.000056800855713,2.4702208042144775,1.05,constructed
168,6017.26171875,0.9999670555036865,2.527148485183716,1.05,constructed
169,6017.23583984375,0.9999627548674682,2.563422441482544,1.05,constructed
170,6017.55126953125,1.0000151739428833,2.469660997390747,1.05,constructed
171,6017.0087890625,0.9999250228704588,2.1805646419525146,1.05,constructed
172,6017.95556640625,1.0000823612407839,2.5651917457580566,1.05,constructed
