family,window,a,seed,stored_cross_step,stored_cross_w2,cross_step,cross_w2,G_cross,reproduced,prev_step,G_prev,w2_prev,cross_w2_interp
Block 3,H10,1.5,100010,1200,3.6147821213168134,1200,3.6147821213168134,0.0013012612423395353,True,1150,-0.005470572329928647,3.492118434816346,3.5912113262903076
Block 3,H10,1.5,100011,1300,3.92661486096299,1300,3.92661486096299,0.00396258536588201,True,1250,-0.0015671546642996859,3.807853303865348,3.8415108948423597
Block 3,H10,1.5,100012,3250,6.517326503088502,3250,6.517326503088502,0.0020746799379947056,True,3200,-0.00030695269214398024,6.417892632690913,6.430707998848816
Block 3,H10,1.5,100013,1400,3.687284379991806,1400,3.687284379991806,0.005662266718399422,True,1350,-0.0011128942826985622,3.5747600417727106,3.5932433948101035
Block 3,H10,1.5,100014,1500,3.2534776845825593,1500,3.2534776845825593,0.002225999804800427,True,1450,-0.004807277787461928,3.1504396552530936,3.2208666252058125
Block 3,H10,1.5,100015,2100,3.876431634396039,2100,3.876431634396039,0.00481342472372015,True,2050,-0.0016143284198992802,3.764167674764691,3.792362737100464
Block 3,H10,1.5,100016,3250,5.523674344441942,3250,5.523674344441942,0.0003398912019587641,True,3200,-0.002593567616067105,5.430164688802261,5.5128396570569285
Block 3,H10,1.5,100017,1400,4.050358853614768,1400,4.050358853614768,0.005386275114758199,True,1350,-0.0002384945196021171,3.93167329412103,3.936705652303711
Block 3,H10,1.5,100018,6150,4.217810027502814,6150,4.217810027502814,0.007299692931001633,True,6100,-0.0004865856573426086,4.05150063483497,4.06189375964233
Block 3,H10,1.5,100019,4350,4.143003242264907,4350,4.143003242264907,0.0023068215930828195,True,4300,-0.005595316731525024,3.982727901216327,4.096215068939945
Block 3,H10,1.5,100020,2500,4.268436123070472,2500,4.268436123070472,0.005318824632097652,True,2450,-0.0016787065235344123,4.1207631806742295,4.156189894215986
Block 3,H10,1.5,100021,3800,4.535651498584003,3800,4.535651498584003,0.003392871478697046,True,3750,-0.0009598454082442309,4.4309164470716516,4.454012242384679
Block 3,H10,1.5,100022,7750,3.9414616125787276,7750,3.9414616125787276,0.00647254210234216,True,7700,-0.003089652528302622,3.746657541979804,3.8096009260561665
Block 3,H10,1.5,100023,1950,3.890821922709697,1950,3.890821922709697,0.00192203153863435,True,1900,-0.003096883565937958,3.7891480110079123,3.8518851284273783
Block 3,H10,1.5,100024,1200,3.6648364340437207,1200,3.6648364340437207,0.0037252757565178207,True,1150,-0.002830617487455278,3.544367132224098,3.5963817852609883
Block 3,H10,1.5,100025,1950,4.79361179180236,1950,4.79361179180236,0.0025870518781014873,True,1900,-0.0014051258460350269,4.6838830405559815,4.722504243088437
Block 3,H10,1.5,100026,1250,3.5308680269609134,1250,3.5308680269609134,0.0023752477236711478,True,1200,-0.004558320271470961,3.4119842852707065,3.490141760624589
Block 3,H10,1.5,100027,3150,4.343916451391311,3150,4.343916451391311,0.0009291316063371191,True,3100,-0.002956177977964991,4.256522497822539,4.323017091198347
Block 3,H10,1.5,100028,4700,4.198460793445373,4700,4.198460793445373,0.004290396974663491,True,4650,-0.0015364870535381492,4.06041283199887,4.096814604284589
Block 3,H10,1.5,100029,2100,4.652502616455514,2100,4.652502616455514,0.00017044443879887794,True,2050,-0.0038714547953646594,4.5480398648913605,4.648097485591478
Block 3,H10,1.5,100030,1950,3.9603648991062297,1950,3.9603648991062297,0.004603693183286239,True,1900,-0.0003421786904667101,3.8605680133336495,3.8674724315147064
Block 3,H10,1.5,100031,2800,4.7189273287231215,2800,4.7189273287231215,0.0015457089270971558,True,2750,-0.0019013155178426722,4.6255730885396975,4.677065576728378
Block 3,H10,1.5,100032,1700,4.830961922557323,1700,4.830961922557323,0.0001844833315782779,True,1650,-0.004130350723366316,4.698825843569558,4.825312364830898
Block 3,H10,1.5,100033,1400,4.079548807611912,1400,4.079548807611912,0.00016509537324704837,True,1350,-0.005866932808181069,3.9620488221922208,4.076332857127942
Block 3,H10,1.5,100034,7850,3.589515340097988,7850,3.589515340097988,0.0031090987607491627,True,7800,-0.00807238395490506,3.3831792662911875,3.532141980259723
Block 3,H10,1.5,100035,3200,3.916382308268126,3200,3.916382308268126,0.0013546115673088721,True,3150,-0.0031529432600136964,3.8270572196641344,3.889538309046994
Block 3,H10,1.5,100036,3250,5.411568455917966,3250,5.411568455917966,0.002856407233220448,True,3200,-0.00028579595036459793,5.314410779696163,5.32324765904123
Block 3,H10,1.5,100037,1050,3.08998719668681,1050,3.08998719668681,0.0010566825522291268,True,1000,-0.00922716634876286,2.950765077181476,3.075681892711423
Block 3,H10,1.5,100038,1600,4.05932177794921,1600,4.05932177794921,0.00046974763702545275,True,1550,-0.00505189083601687,3.944601806365822,4.049562095957348
Block 3,H10,1.5,100039,3600,4.381235029631016,3600,4.381235029631016,0.0031512858846070024,True,3550,-0.0028763797854796103,4.2307690212638045,4.3025708444832125
Block 3,H10,1.5,100041,1850,4.935310118361392,1850,4.935310118361392,0.001733179807844376,True,1800,-0.00297917925361757,4.816800755815338,4.891723025033744
Block 3,H10,1.5,100042,2800,4.66365031212319,2800,4.66365031212319,0.0038652933166742898,True,2750,-0.0020927244098194464,4.515562672588784,4.567577727305409
Block 3,H10,1.5,100043,2200,4.478203444963433,2200,4.478203444963433,5.8846479153551456e-05,True,2150,-0.005136706415012515,4.348532416488666,4.476734749787116
Block 3,H10,1.5,100044,8350,4.786594761708052,8350,4.786594761708052,0.002327739058388456,True,8300,-0.0034786078880060245,4.627254370865348,4.722715896947179
Block 3,H10,1.5,100045,1950,4.201072047601985,1950,4.201072047601985,0.0006979370734754298,True,1900,-0.0034016427100196367,4.097756503840329,4.183482989194624
Block 3,H10,1.5,100046,2150,4.255840072314689,2150,4.255840072314689,0.0007526576102350191,True,2100,-0.0040340729016623555,4.143046266951317,4.238104560406696
Block 3,H10,1.5,100047,1750,4.315863729486233,1750,4.315863729486233,0.007388440206193447,True,1700,-0.00016579177406716994,4.142297042567903,4.146106288698859
Block 3,H10,1.5,100048,5150,4.538425049262656,5150,4.538425049262656,0.00042770453109453044,True,5100,-0.00678352772249724,4.363305106088522,4.5280385313213865
Block 3,H10,1.5,100049,2450,3.932960321019349,2450,3.932960321019349,0.0029098758378549583,True,2400,-0.0037071481188082345,3.796476958287556,3.872940946435928
Block 3,H10,1.5,100050,4350,4.323743676947823,4350,4.323743676947823,0.002847928801120947,True,4300,-0.002415165300213129,4.206182653172611,4.260129875056303
Block 3,H10,1.5,100051,2200,4.6253163159647315,2200,4.6253163159647315,0.002759017470556735,True,2150,-0.0025494489887489813,4.492148001796312,4.5561035389543045
Block 3,H10,1.5,100052,3200,4.719671470512115,3200,4.719671470512115,0.0014486711397494467,True,3150,-0.002744340705801207,4.61281949341528,4.682754480733131
Block 3,H10,1.5,100053,1650,3.5273356378733665,1650,3.5273356378733665,0.003267619796072818,True,1600,-0.0025185768666804442,3.423453793546846,3.4686707858542554
Block 3,H10,1.5,100054,1950,5.1154432504785925,1950,5.1154432504785925,0.0033921134145527,True,1900,-0.0003720338256179012,4.998589321417837,5.010138714014123
Block 3,H10,1.5,100055,1800,4.03814707793632,1800,4.03814707793632,0.0010244402173902323,True,1750,-0.0039557851865894555,3.9330793679654574,4.0165344843462325
Block 3,H10,1.5,100056,2600,4.48727570613299,2600,4.48727570613299,0.002555236032561581,True,2550,-0.002301521251571348,4.367317237275612,4.424163183908192
Block 3,H10,1.5,100057,1650,4.100820252640194,1650,4.100820252640194,0.0016364676370668185,True,1600,-0.0036177065161777655,3.9831041333501913,4.064156332876471
