a,budget,seed,n_checkpoints,init_distance,min_distance,min_at_step,final_distance,final_solved
1.6,2000,28,1981,4.891607037204821,4.879917052315918,161,16.377079334890364,False
1.45,32000,10,30943,5.236654804181916,4.817644791689548,120,228.65258147600457,True
1.45,2000,20,133,5.272747262317398,5.231663735498047,27,14.891086799825251,False
1.35,32000,12,31981,5.5135061616869985,5.27561366142491,46,247.3789710928128,True
1.5,4000,11,3874,4.625603767558627,4.536916533061013,24,24.08024471590815,True
1.45,4000,30,2567,5.176436039340878,4.687204746799207,87,30.660745367759674,True
1.5,8000,21,146,4.676375445260395,4.676375445260395,1,13.650392973049867,False
1.3,32000,35,28443,5.150200731630284,5.110052879602412,31,243.90159221119188,True
1.5,8000,25,7943,6.183866465168883,4.748232035493303,1354,46.32963129237428,True
1.6,4000,3,2897,5.462059475467312,5.462059475467312,1,27.912839442676386,True
1.6,32000,31,31320,5.271795958914013,4.728034332519868,204,207.19914851676435,True
1.5,16000,11,15872,4.625603767558627,4.536905027573022,25,103.45282542999583,True
1.35,8000,31,6426,5.248742434432053,4.7850324958676795,200,65.84174116106882,True
1.4,4000,17,3983,4.434588164087878,4.3476475604222635,31,4.365344914790923,False
1.35,2000,9,35,5.628204408483242,5.516308860173182,15,17.288854927197693,False
1.3,2000,9,35,5.615889256365183,5.502979379926949,15,16.799841978670994,False
1.3,4000,25,3945,6.159500122342157,4.7413102637245546,1274,20.08520607087072,False
1.3,4000,2,2222,5.085372809893849,5.081353399631789,8,36.51174046749722,True
1.35,2000,38,546,5.34823886502125,5.259393173799684,88,22.21713661872239,False
1.45,4000,16,3762,4.478565191685139,4.478565191685139,1,17.23994763349305,False
1.5,4000,38,3219,5.370520924097313,5.200860608672205,87,35.06210598528109,True
1.45,8000,26,7822,4.845843243416589,4.845843243416589,1,54.91069709836421,True
1.4,16000,28,13945,4.905768770939472,4.872865943196296,143,113.88088121828267,True
1.4,16000,30,14270,5.177987071592812,4.681991324264342,87,116.06742880904085,True
1.4,4000,34,2419,5.477726224406844,5.475161889519498,4,29.82037286746658,True
1.5,16000,36,14819,5.380915922568831,5.033804467737376,495,108.93643829888559,True
1.4,16000,32,14085,5.7487076658127005,5.371704315444265,41,114.38015930860978,True
1.45,16000,5,14714,5.929587319218599,5.929587319218599,1,113.03330867438476,True
1.6,4000,6,3977,4.949880966280624,4.949880966280624,1,7.779319181228604,False
1.6,16000,35,14616,5.23579840932699,5.181031513868697,32,91.48329678685492,True
1.6,4000,9,3967,5.639929914905707,5.532589099806788,15,29.47187019839858,True
1.3,2000,13,35,4.46764982216127,4.288424905972976,88,4.875802214708882,False
