a,seed,solved32,solved64,first_divergence,final_dist,final_rel,w2_32,w2_64
1.45,38,False,False,2000,5.212400113167388e-05,2.7504344968394496e-06,-5.949618339538574,-5.94963376777026
1.45,39,True,True,2000,4.0295836614338455e-05,2.3469400369569735e-06,-5.357658386230469,-5.357671025888479
1.45,40,True,True,2000,4.270761719172609e-05,2.777970177440739e-06,-4.809225559234619,-4.80923857913985
1.45,41,False,False,2000,4.249262791806803e-05,4.031961871394256e-06,3.3160903453826904,3.316102965449893
1.45,42,True,True,2000,4.6738856328552656e-05,2.883863327726285e-06,-5.048202991485596,-5.04821718424793
1.45,43,False,False,2000,4.1449175166242136e-05,4.188647741079956e-06,3.1285150051116943,3.1285275507834958
1.45,44,True,True,2000,1.6507136849898363e-05,8.162902781235265e-07,6.304530143737793,6.304535591310243
1.45,45,False,False,2000,3.653922617971708e-05,3.7491729863262683e-06,-3.092639446258545,-3.092650229437781
1.45,46,False,False,2000,3.442112429591936e-06,6.175600473715606e-06,-0.5490080118179321,-0.549008680793761
1.45,47,False,False,2000,4.2825516862727643e-05,3.4162742682312324e-06,3.9477477073669434,3.947760671379592
1.45,48,False,False,2000,1.1226842299064387e-06,1.2109688294586584e-06,-0.6364807486534119,-0.6364799337597972
1.45,49,False,False,2000,4.0678744013920635e-05,4.130374803548088e-06,-3.1030399799346924,-3.1030523847085068
1.45,50,False,False,2000,8.59889925834957e-06,8.406375104172553e-06,-0.9983811974525452,-0.9983791147324492
1.45,51,True,True,2000,3.852085298103299e-05,2.5149417662838864e-06,-4.767692565917969,-4.76770438010476
1.45,52,False,False,2000,4.011333726528998e-05,3.0348994894751373e-06,4.1392107009887695,4.13922313044952
1.45,53,False,False,2000,5.267455952322942e-05,3.784879602843837e-06,4.368455410003662,4.368471515037191
1.45,54,False,False,2000,0.00015971744371821484,4.731310109063295e-05,0.9695076942443848,0.969554898780702
1.45,55,False,False,2000,1.487695423241982e-06,2.812460949980179e-06,0.10243415087461472,0.10243469636385205
1.45,56,False,False,2000,4.903094873965826e-05,3.921293238379974e-06,-3.8989946842193604,-3.899009324210775
1.45,57,False,False,2000,7.131647941243234e-07,9.604576152215125e-07,-0.7294185161590576,-0.7294178602169663
1.45,58,False,False,2000,0.0001347989531059002,2.58376157547603e-05,-1.6214144229888916,-1.6214546996912698
1.45,59,False,False,2000,2.094569517380293e-06,2.5652898572532855e-06,0.15853285789489746,0.1585322553295492
1.5,0,False,False,2000,2.7162283893010794e-06,7.632524290997917e-06,-0.28893810510635376,-0.28893662939911097
1.5,1,True,True,2000,5.01918316377509e-05,3.5762981308468743e-06,4.394019603729248,4.394034089152721
1.5,2,True,True,2000,3.200107462399782e-05,1.836990611558119e-06,5.441926002502441,5.441935716334698
1.5,3,False,False,2000,4.080766303850528e-05,3.1940430629474e-06,4.01510763168335,4.015119355028072
1.5,4,False,False,2000,2.082338669181021e-06,2.8013332427467907e-06,-0.6662501096725464,-0.666248116835435
1.5,5,True,True,2000,4.608793161047678e-05,3.070803733255935e-06,4.681643009185791,4.681656866254192
1.5,6,False,False,2000,6.575337482561398e-07,8.650489336869998e-07,0.7476645112037659,0.7476650578019536
1.5,7,True,True,2000,5.318125768588963e-05,3.0613379459286413e-06,5.425278186798096,5.425294338883741
1.5,8,False,False,2000,3.6349998053700183e-06,3.5670493233656177e-06,0.6374976634979248,0.6374975012044978
1.5,9,True,True,2000,4.329370877876715e-05,2.9792071899619824e-06,4.547369956970215,4.547383255558132
1.5,10,True,True,2000,5.2269220080615716e-05,3.0917648630867784e-06,-5.288018703460693,-5.288034220167237
1.5,11,False,False,2000,4.743272638533382e-06,9.487140684392773e-06,0.48687943816185,0.48687910628468895
1.5,12,True,True,2000,4.3865462490615555e-05,2.6438547729089867e-06,5.196073532104492,5.196087355519965
1.5,13,False,False,2000,4.495311058459957e-06,8.36031369365041e-06,0.5329522490501404,0.5329512174074647
1.5,14,False,False,2000,4.071107567863464e-06,3.434350900837703e-06,0.46115541458129883,0.46115746115833706
1.5,15,False,False,2000,2.9741659313157017e-05,2.7543437440748234e-06,3.3957056999206543,3.395714876407428
1.5,16,False,False,2000,6.553497440741661e-07,1.6121773190002486e-06,0.34079793095588684,0.3407977675429846
1.5,17,False,False,2000,2.6656358623563195e-06,2.5739324246873583e-06,0.835099458694458,0.8350971323001445
1.5,18,False,False,2000,4.2136402618947836e-05,2.907850132994887e-06,-4.549479007720947,-4.549492082120998
1.5,19,True,True,2000,5.3487829267167553e-05,3.392121990060215e-06,4.939854621887207,4.939871008467449
1.5,20,False,False,2000,4.100272278219737e-05,3.5751284127442197e-06,3.6068201065063477,3.6068327156162074
1.5,21,False,False,2000,5.706804536274094e-07,5.404915962488708e-07,-0.951656699180603,-0.951656193934926
1.5,22,False,False,2000,3.648100481985102e-05,3.829244380025683e-06,-2.997375011444092,-2.9973858478391886
1.5,23,False,False,2000,4.416344603324371e-05,3.7445971622253732e-06,-3.7070751190185547,-3.70708804061973
1.5,24,False,False,2000,5.3897927342560403e-05,4.596060986413741e-06,-3.6947033405303955,-3.69471952514578
1.5,25,False,False,2000,4.731334852308864e-05,7.5878604909723e-06,-1.9732722043991089,-1.973286169174379
1.5,26,False,False,2000,9.919215761671703e-07,1.4833918761720513e-06,0.38641226291656494,0.38641288142826663
1.5,27,False,False,2000,4.1427132145933344e-05,3.648666853067652e-06,3.6137888431549072,3.6138012025949933
1.5,28,False,False,2000,4.1083262669601415e-05,3.258746435227636e-06,3.967543125152588,3.9675556812928976
1.5,29,False,False,2000,2.4002088858874777e-07,5.09005967434002e-07,0.3448227345943451,0.3448228349413711
1.5,30,True,True,2000,5.582113726185143e-05,3.902497235291284e-06,-4.475937843322754,-4.475954789495313
1.5,31,True,True,2000,5.1302810938916466e-05,2.9659090639864666e-06,-5.432450294494629,-5.432465599115538
1.5,32,False,False,2000,5.607373541477944e-05,4.184490812957951e-06,4.197746753692627,4.197763630617483
1.5,33,True,True,2000,2.7244949279529138e-05,1.8979414800222253e-06,-4.509225368499756,-4.509233100274364
1.5,34,True,True,2000,2.850068705049341e-05,2.138572681717377e-06,4.176525592803955,4.176534473818168
1.5,35,False,False,2000,5.2525918184343996e-05,5.371774345146245e-06,3.083068609237671,3.0830840741034433
1.5,36,True,True,2000,4.579731857393893e-05,2.7591233047305437e-06,-5.20581579208374,-5.205829608805514
1.5,37,False,False,2000,1.3333005966387288e-06,4.566963726645341e-06,0.288985013961792,0.2889862446117711
1.5,38,True,True,2000,4.55595868808745e-05,2.432465871445142e-06,-5.886249542236328,-5.886264042897114
1.5,39,True,True,2000,3.9555477287946595e-05,2.299920059501428e-06,-5.371326923370361,-5.371338454270454
1.5,40,True,True,2000,4.716660976099207e-05,3.0659192604791663e-06,-4.817041873931885,-4.81705646350468
1.5,41,False,False,2000,3.9797944749326966e-05,3.66998254556738e-06,3.4140942096710205,3.4141060570287016
1.5,42,True,True,2000,3.8308023357643734e-05,2.351396081244005e-06,-5.079933166503906,-5.079944534549372
1.5,43,False,False,2000,6.120808053252274e-05,6.04494961171084e-06,3.203113317489624,3.2031319789803474
1.5,44,True,True,2000,4.153769181117884e-05,2.0308815246773064e-06,6.3838300704956055,6.3838336741366035
1.5,45,False,False,2000,5.255626104485334e-05,5.228190377373529e-06,-3.1896872520446777,-3.1897030401587876
1.5,46,False,False,2000,3.4631364652823546e-06,6.255335016795374e-06,-0.5449286103248596,-0.5449288813380931
1.5,47,False,False,2000,5.7138492017210896e-05,4.458512140290918e-06,4.03787088394165,4.037888175074376
1.5,48,False,False,2000,1.0213242754654185e-06,1.103275803288208e-06,-0.6191518902778625,-0.619151472991452
