activation,parameter,depth,width,seed,train_errors,eval_errors,dense_errors,solved,steps_to_criterion,final_eval_accuracy,at_chance,inactive_unit_fraction,duration_seconds
tanh,,3,3,127,84,97,-1,False,-1,0.9515,False,0.0,0.6651227090042084
tanh,,3,3,128,58,72,-1,False,-1,0.964,False,0.0,0.6657942498568445
tanh,,3,3,129,77,87,-1,False,-1,0.9565,False,0.0,0.6644421671517193
tanh,,3,3,130,66,65,-1,False,-1,0.9675,False,0.0,0.6663456249516457
tanh,,3,3,131,68,98,-1,False,-1,0.951,False,0.0,0.6666398330125958
tanh,,3,3,132,64,59,-1,False,-1,0.9705,False,0.0,0.6618415829725564
tanh,,3,3,133,63,53,-1,False,-1,0.9735,False,0.0,0.666154625127092
tanh,,3,3,134,81,88,-1,False,-1,0.956,False,0.0,0.6655043330974877
tanh,,3,3,135,83,93,-1,False,-1,0.9535,False,0.0,0.6622103748377413
tanh,,3,3,136,84,86,-1,False,-1,0.957,False,0.0,0.6648034590762109
tanh,,3,3,137,98,104,-1,False,-1,0.948,False,0.0,0.6674491250887513
tanh,,3,3,138,63,66,-1,False,-1,0.967,False,0.0,0.6645529589150101
tanh,,3,3,139,89,90,-1,False,-1,0.955,False,0.0,0.670482125133276
tanh,,3,3,140,84,87,-1,False,-1,0.9565,False,0.0,0.667559334076941
tanh,,3,3,141,80,82,-1,False,-1,0.959,False,0.0,0.6684014999773353
tanh,,3,3,142,68,83,-1,False,-1,0.9585,False,0.0,0.6710407498758286
tanh,,3,3,143,69,64,-1,False,-1,0.968,False,0.0,0.6710655000060797
tanh,,3,3,144,96,82,-1,False,-1,0.959,False,0.0,0.6745868329890072
tanh,,3,3,145,67,95,-1,False,-1,0.9525,False,0.0,0.6689221251290292
tanh,,3,3,146,62,68,-1,False,-1,0.966,False,0.0,0.6677065419498831
tanh,,3,3,147,68,61,-1,False,-1,0.9695,False,0.0,0.6650127908214927
tanh,,3,3,148,65,75,-1,False,-1,0.9625,False,0.0,0.6676606249529868
tanh,,3,3,149,63,68,-1,False,-1,0.966,False,0.0,0.6655492091085762
tanh,,3,3,150,89,95,-1,False,-1,0.9525,False,0.0,0.665912790922448
tanh,,3,3,151,97,88,-1,False,-1,0.956,False,0.0,0.6678834159392864
tanh,,3,3,152,89,99,-1,False,-1,0.9505,False,0.0,0.6837711671832949
tanh,,3,3,153,75,90,-1,False,-1,0.955,False,0.0,0.6836368748918176
