a,opt,budget,w2,gstar,R,solved
1.02,adam,2000,2.153057336807251,0.0016156047879616,0.0017392448710508,False
1.02,adam,2000,3.606210470199585,0.0016156047879616,0.0029131054510259,False
1.02,adam,2000,1.3673322200775146,0.0016156047879616,0.0011045342407457,False
1.02,adam,2000,0.8256388902664185,0.0016156047879616,0.0006669530721208,False
1.02,adam,2000,3.741424560546875,0.0016156047879616,0.0030223317169083,False
1.02,adam,2000,2.732316493988037,0.0016156047879616,0.0022071718049568,False
1.02,adam,2000,1.5528109073638916,0.0016156047879616,0.001254364368368,False
1.02,adam,2000,1.2435365915298462,0.0016156047879616,0.0010045318356405,False
1.02,adam,2000,0.450246512889862,0.0016156047879616,0.0003637102109939,False
1.02,adam,2000,0.6179731488227844,0.0016156047879616,0.0004992001890349,False
1.02,adam,2000,2.1908040046691895,0.0016156047879616,0.0017697367197145,False
1.02,adam,2000,0.3577706813812256,0.0016156047879616,0.0002890080129159,False
1.02,adam,2000,2.9806175231933594,0.0016156047879616,0.0024077499707767,False
1.02,adam,2000,2.0272789001464844,0.0016156047879616,0.0016376407488051,False
1.02,adam,2000,1.3774995803833008,0.0016156047879616,0.0011127474587412,False
1.02,adam,2000,2.3149893283843994,0.0016156047879616,0.0018700539215089,False
1.02,adam,2000,3.123089075088501,0.0016156047879616,0.0025228388314718,False
1.02,adam,2000,0.3775412440299988,0.0016156047879616,0.0003049787207539,False
1.02,adam,2000,1.4475500583648682,0.0016156047879616,0.0011693344025542,False
1.02,adam,2000,1.3046774864196775,0.0016156047879616,0.0010539215969026,False
1.02,adam,2000,2.3107383251190186,0.0016156047879616,0.0018666199508943,False
1.02,adam,2000,1.8550745248794556,0.0016156047879616,0.0014985336422104,False
1.02,adam,2000,2.955599546432495,0.0016156047879616,0.0023875403892567,False
1.02,adam,2000,3.0408806800842285,0.0016156047879616,0.002456430693182,False
1.02,adam,2000,1.7874443531036377,0.0016156047879616,0.0014439018275446,False
1.02,adam,2000,2.008448839187622,0.0016156047879616,0.0016224297804837,False
1.02,adam,2000,3.12043833732605,0.0016156047879616,0.0025206975591615,False
1.02,adam,2000,2.0576095581054688,0.0016156047879616,0.0016621419269154,False
1.02,adam,2000,0.640360951423645,0.0016156047879616,0.0005172851095718,False
1.02,adam,2000,0.5388051867485046,0.0016156047879616,0.0004352481197447,False
1.02,adam,2000,2.0513532161712646,0.0016156047879616,0.0016570880389233,False
1.02,adam,2000,1.866377353668213,0.0016156047879616,0.0015076640943647,False
1.05,adam,2000,0.6455913186073303,0.0063357906771699,0.002045165728847,False
1.05,adam,2000,2.25913667678833,0.0063357906771699,0.007156708547624,False
1.05,adam,2000,3.648914337158203,0.0063357906771699,0.0115593787195793,False
1.05,adam,2000,2.0119524002075195,0.0063357906771699,0.0063736546300722,False
1.05,adam,2000,0.6897855997085571,0.0063357906771699,0.0021851685859397,False
1.05,adam,2000,2.636322259902954,0.0063357906771699,0.0083515929981543,False
1.05,adam,2000,0.7177834510803223,0.0063357906771699,0.0022738628487907,False
1.05,adam,2000,4.00876522064209,0.0063357906771699,0.0126993486559536,False
1.05,adam,2000,0.6704736948013306,0.0063357906771699,0.0021239904924049,False
1.05,adam,2000,2.3603248596191406,0.0063357906771699,0.0074772621203336,False
1.05,adam,2000,3.315460681915283,0.0063357906771699,0.0105030324395011,False
1.05,adam,2000,0.5137295722961426,0.0063357906771699,0.0016274415173702,False
1.05,adam,2000,3.206620931625366,0.0063357906771699,0.0101582395019049,False
1.05,adam,2000,0.6579350233078003,0.0063357906771699,0.0020842692934285,False
1.05,adam,2000,0.5374023914337158,0.0063357906771699,0.0017024345307672,False
1.05,adam,2000,2.011817455291748,0.0063357906771699,0.0063732271387026,False
1.05,adam,2000,0.3142235279083252,0.0063357906771699,0.0009954272493345,False
1.05,adam,2000,0.8797702789306641,0.0063357906771699,0.00278702016565,False
1.05,adam,2000,2.393947124481201,0.0063357906771699,0.0075837739364628,False
