family,a,seed,window,source,stored_cross_step,reproduced,cross_step_check,first_positive_step,R_check,R_step,R_interp_step,R_ref,check_interval,R_interp_check,growth_over_interval_rel,growth_one_step_rel,residual_check,residual_interp_step,residual_interp_check,R_ref_kind
Block 3 (prospective),1.3,100000,H35,rerun,2200,True,2200,2171,0.25996271432194595,0.256762535607417,0.25672298564319285,0.2118749999999999,50,0.2567535641137627,0.026054706504360505,0.0005212044120555882,0.22696266346641214,0.21167190864043883,0.21181623180537024,U = R_glob (window)
Block 3 (prospective),1.3,100001,H35,rerun,3450,True,3450,3422,0.22970292666922967,0.22736287571254113,0.22735962838998305,0.2118749999999999,50,0.2273801550180677,0.01969475864575474,0.00039372161397323736,0.08414360669842957,0.07308379181113,0.07318067265164752,U = R_glob (window)
Block 3 (prospective),1.3,100002,H35,rerun,2100,True,2100,2059,0.21734978937907018,0.21329145424408533,0.2132199496687474,0.2118749999999999,50,0.2132370085145719,0.02335516295460894,0.00046682221625769663,0.02583971388351758,0.006347845044236022,0.006428358770841358,U = R_glob (window)
Block 3 (prospective),1.3,100003,H35,rerun,8500,True,8500,8499,0.21714930824015213,0.21701749582351118,0.21696531973691677,0.2118749999999999,50,0.21697121160309507,0.03132252598339998,0.0006222950527112783,0.024893490219007663,0.024025107902852394,0.02405291612080318,U = R_glob (window)
Block 3 (prospective),1.3,100004,H35,rerun,3050,True,3050,3046,0.23349038352605359,0.23313218421329152,0.23311354831665856,0.2118749999999999,50,0.23312064874250313,0.0210840225619864,0.00042254896546582986,0.10201950926751002,0.10024093600782846,0.10027444834219823,U = R_glob (window)
Block 3 (prospective),1.3,100000,H65,rerun,1500,True,1500,1498,0.2526895068782802,0.25236490311417953,0.25233683131372364,0.22125,50,0.25234848163534007,0.03679763983626216,0.0007337125861394041,0.14209946611652047,0.14050545226541766,0.14055810908628286,U = R_glob (window)
Block 3 (prospective),1.3,100001,H65,rerun,2750,True,2750,2717,0.2414903786981187,0.23806441181354598,0.23803382122539712,0.22125,50,0.23806088001809536,0.02342825670808722,0.0004679012967302587,0.09148193761861556,0.07585907898484567,0.07598137861286047,U = R_glob (window)
Block 3 (prospective),1.3,100002,H65,rerun,1500,True,1500,1490,0.22781297312215737,0.22644933855863392,0.22635856713659205,0.22125,50,0.22639550441278927,0.030795233607650897,0.0006162149412723639,0.029663155354383575,0.023089568978947206,0.02325651711995147,U = R_glob (window)
Block 3 (prospective),1.3,100003,H65,rerun,8400,True,8400,8395,0.2405992212633393,0.23955165464108386,0.23937572115365638,0.22125,50,0.23942728753417059,0.047930840596750006,0.0009484484846991462,0.08745410740492332,0.08192416340635655,0.08215723179286138,U = R_glob (window)
Block 3 (prospective),1.3,100004,H65,rerun,2300,True,2300,2290,0.2345838439289879,0.23345876143195476,0.23338078760249004,0.22125,50,0.23340518081191278,0.025353867040662142,0.0005081187580735,0.060265961260962175,0.054828418542327784,0.05493867033632882,U = R_glob (window)
Block 3 (prospective),1.3,100000,H90,rerun,1250,True,1250,1246,0.24151651115110048,0.24064890884384968,0.24049358915752678,0.22125,50,0.2405392655172292,0.04936827668149502,0.000981073596154242,0.09160005040045416,0.08697667415831312,0.08718312098182701,U = R_glob (window)
Block 3 (prospective),1.3,100001,H90,rerun,2350,True,2350,2328,0.24073923138496875,0.23818943350791746,0.23811477375213055,0.22125,50,0.23815290858605717,0.02611992127286863,0.0005226567165138503,0.08808692151398301,0.07622496611132457,0.07639732694263124,U = R_glob (window)
Block 3 (prospective),1.3,100002,H90,rerun,1250,True,1250,1230,0.23285861031124744,0.2295853293025816,0.2295690320981753,0.22125,50,0.22964538165847803,0.0369606487177827,0.0007393664104481935,0.05246829519207874,0.03760014507649845,0.03794522783492904,U = R_glob (window)
Block 3 (prospective),1.3,100003,H90,rerun,7850,True,7850,7834,0.25039652000053514,0.24594801146028186,0.24590013112082276,0.22125,50,0.2460915799294512,0.0636318846407118,0.0012643464199825348,0.13173568361823795,0.11141302201501802,0.11227832736475118,U = R_glob (window)
Block 3 (prospective),1.3,100004,H90,rerun,1900,True,1900,1882,0.23123370800746185,0.22891914094253438,0.2288583055947007,0.22125,50,0.22890380617674452,0.028980417769334424,0.000580250171581561,0.045124103988528175,0.03438782189695222,0.034593474245173006,U = R_glob (window)
Block 3 (prospective),1.5,100000,H10,rerun,1800,True,1800,1760,0.27543052300786924,0.26984294763096794,0.269808021506364,0.2012499999999998,50,0.2698379491998298,0.03474218851331813,0.000697111425369091,0.3685988720887927,0.3406609764291393,0.340809685464994,U = R_glob (window)
Block 3 (prospective),1.5,100001,H10,rerun,2400,True,2400,2374,0.2194881056461557,0.21693163984095523,0.21685740864374425,0.2012499999999998,50,0.21688804467297387,0.024410322570951725,0.00048816342403862914,0.09062412743431514,0.07755234108692899,0.07770456980359808,U = R_glob (window)
Block 3 (prospective),1.5,100002,H10,rerun,1450,True,1450,1438,0.2105176151207531,0.20904011603403944,0.20897275015574418,0.2012499999999998,50,0.20901036676287574,0.0306305132995535,0.000612078019000964,0.04605026146958169,0.03837391381736355,0.03856082863540844,U = R_glob (window)
