q,a,budget,seed,w2,solved,gstar,R
2.0,1.25,8000,7,0.24529828131198883,False,0.044559504836797714,0.005465184976289866
2.0,1.25,8000,8,53.18003845214844,True,0.044559504836797714,1.1848380903147984
2.0,1.25,8000,9,50.674461364746094,True,0.044559504836797714,1.1290144531422612
2.0,1.25,8000,10,53.11066818237305,True,0.044559504836797714,1.1832925378790051
2.0,1.25,8000,11,53.28095626831055,True,0.044559504836797714,1.1870865142734957
2.0,1.25,8000,12,52.1329231262207,True,0.044559504836797714,1.1615086200996174
2.0,1.25,8000,13,51.67701721191406,True,0.044559504836797714,1.1513511492027817
2.0,1.25,8000,14,0.9582654237747192,False,0.044559504836797714,0.021349916392812807
2.0,1.25,8000,15,53.08290100097656,True,0.044559504836797714,1.1826738919521347
2.0,1.25,8000,16,52.04335021972656,True,0.044559504836797714,1.1595129579195316
2.0,1.25,8000,17,1.1923117637634277,False,0.044559504836797714,0.026564410902193636
2.0,1.25,8000,18,53.1630859375,True,0.044559504836797714,1.184460392485562
2.0,1.25,8000,19,48.9044075012207,True,0.044559504836797714,1.0895780912956852
2.0,1.25,32000,0,1.2204114198684692,False,0.044559504836797714,0.02719046428325611
2.0,1.25,32000,1,220.81480407714844,True,0.044559504836797714,4.919699165156118
2.0,1.25,32000,2,222.26568603515625,True,0.044559504836797714,4.9520244559688535
2.0,1.25,32000,3,217.618408203125,True,0.044559504836797714,4.848484256451684
2.0,1.25,32000,4,149.8878936767578,True,0.044559504836797714,3.3394651616334556
2.0,1.25,32000,5,0.3173314332962036,False,0.044559504836797714,0.007070065768415068
2.0,1.25,32000,6,221.83810424804688,True,0.044559504836797714,4.94249803961344
2.0,1.25,32000,7,0.17553651332855225,False,0.044559504836797714,0.003910910057349115
2.0,1.25,32000,8,220.9712677001953,True,0.044559504836797714,4.923185135940088
2.0,1.25,32000,9,218.4361114501953,True,0.044559504836797714,4.866702482348131
2.0,1.25,32000,10,222.0805206298828,True,0.044559504836797714,4.947899016582909
2.0,1.25,32000,11,221.29833984375,True,0.044559504836797714,4.930472222321441
2.0,1.25,32000,12,222.63136291503906,True,0.044559504836797714,4.960171646317775
2.0,1.25,32000,13,222.64324951171875,True,0.044559504836797714,4.960436476748896
2.0,1.25,32000,14,0.7222875952720642,False,0.044559504836797714,0.016092388797542267
2.0,1.25,32000,15,223.97654724121094,True,0.044559504836797714,4.990142020061995
2.0,1.25,32000,16,221.82838439941406,True,0.044559504836797714,4.942281483792357
2.0,1.25,32000,17,1.5808430910110474,False,0.044559504836797714,0.03522079268006251
2.0,1.25,32000,18,222.76834106445312,True,0.044559504836797714,4.963223485573451
2.0,1.25,32000,19,216.53089904785156,True,0.044559504836797714,4.82425482171945
2.0,1.4,2000,0,16.003250122070312,True,0.08497761934995651,0.679959048617718
2.0,1.4,2000,1,13.045281410217285,True,0.08497761934995651,0.5542784789952542
2.0,1.4,2000,2,14.608128547668457,True,0.08497761934995651,0.6206819935695016
2.0,1.4,2000,3,12.572714805603027,True,0.08497761934995651,0.5341996864730483
2.0,1.4,2000,4,1.3017935752868652,False,0.08497761934995651,0.055311659456473095
2.0,1.4,2000,5,0.38793495297431946,False,0.08497761934995651,0.0164828943831975
2.0,1.4,2000,6,14.843932151794434,True,0.08497761934995651,0.6307010080258841
2.0,1.4,2000,7,0.14478793740272522,False,0.08497761934995651,0.0061518671155370575
2.0,1.4,2000,8,14.521175384521484,True,0.08497761934995651,0.6169874571699125
2.0,1.4,2000,9,12.99754524230957,True,0.08497761934995651,0.5522502260424105
2.0,1.4,2000,10,14.429727554321289,True,0.08497761934995651,0.6131019477173467
2.0,1.4,2000,11,14.621824264526367,True,0.08497761934995651,0.6212639082764397
2.0,1.4,2000,12,13.70354175567627,True,0.08497761934995651,0.5822471775300464
2.0,1.4,2000,13,13.655280113220215,True,0.08497761934995651,0.5801965977891292
2.0,1.4,2000,14,0.9295890927314758,False,0.08497761934995651,0.03949713403700339
2.0,1.4,2000,15,14.285551071166992,True,0.08497761934995651,0.6069760605649961
2.0,1.4,2000,16,13.9443941116333,True,0.08497761934995651,0.5924807074420748
2.0,1.4,2000,17,1.1922101974487305,False,0.08497761934995651,0.050655592171967356
2.0,1.4,2000,18,14.147257804870605,True,0.08497761934995651,0.6011001442939978
2.0,1.4,2000,19,12.36544418334961,True,0.08497761934995651,0.5253930044529085
2.0,1.4,8000,0,46.336387634277344,True,0.08497761934995651,1.968777955218826
2.0,1.4,8000,1,41.05685806274414,True,0.08497761934995651,1.7444570280805323
2.0,1.4,8000,2,43.23566436767578,True,0.08497761934995651,1.8370319144894154
2.0,1.4,8000,3,39.9215202331543,True,0.08497761934995651,1.6962178751222865
2.0,1.4,8000,4,1.292401909828186,False,0.08497761934995651,0.05491261877026821
2.0,1.4,8000,5,0.3879333734512329,False,0.08497761934995651,0.016482827271141698
2.0,1.4,8000,6,43.02457809448242,True,0.08497761934995651,1.8280631100027023
2.0,1.4,8000,7,0.14450964331626892,False,0.08497761934995651,0.006140042731063944
2.0,1.4,8000,8,42.68679428100586,True,0.08497761934995651,1.8137110778406083
