a,budget,seed,init_distance_step0,distance_step1_recomputed,logged_first_distance,step1_reproduced,min_distance_logged,min_including_step0,min_at_step0
1.4,4000,4,4.826658329895804,4.835504373197885,4.835504373197885,True,4.835504373197885,4.826658329895804,True
1.35,2000,22,4.244064232817926,4.2530474212859115,4.253047421285911,True,4.253047421285911,4.244064232817926,True
1.45,2000,39,5.1392059208755025,5.131592693630568,5.131592693630568,True,4.733725895899888,4.733725895899888,False
1.3,8000,8,4.082748786663891,4.084062884413513,4.084062884413513,True,4.084062884413513,4.082748786663891,True
1.35,16000,38,5.35811704208195,5.34823886502125,5.34823886502125,True,5.254748857188633,5.254748857188633,False
1.5,8000,20,5.285345130966248,5.282274086910238,5.282274086910238,True,5.238048754603555,5.238048754603555,False
1.3,2000,29,4.587040722503218,4.584697002970402,4.584697002970402,True,4.551083328040232,4.551083328040232,False
1.4,4000,24,5.4757385385248885,5.458546124886569,5.458546124886569,True,4.985065815791942,4.985065815791942,False
1.3,32000,26,4.814314695621605,4.814994036349338,4.814994036349338,True,4.814994036349338,4.814314695621605,True
1.6,8000,26,4.848367209032008,4.849811930832871,4.849811930832871,True,4.849811930832871,4.848367209032008,True
1.45,32000,38,5.362536340709499,5.379214676706458,5.379214676706458,True,5.225925805011878,5.225925805011878,False
1.5,16000,10,5.2550650132142085,5.238730255061094,5.238730255061094,True,4.80349063875511,4.80349063875511,False
1.35,16000,35,5.176500473618337,5.173426465305522,5.173426465305522,True,5.130943512613897,5.130943512613897,False
1.35,32000,32,5.756647902180555,5.739922473125474,5.739922473125474,True,5.361207290121088,5.361207290121088,False
1.4,4000,27,5.449655232898851,5.444929790841034,5.444929790841034,True,5.42964335260123,5.42964335260123,False
1.4,4000,39,5.130249566202648,5.122760044939822,5.122760044939821,True,4.730670358051363,4.730670358051363,False
1.5,32000,11,4.630964568559711,4.625603767558627,4.625603767558627,True,4.536916533061013,4.536916533061013,False
1.45,4000,36,5.393510875411452,5.376923155589905,5.376923155589906,True,5.049424813945218,5.049424813945218,False
1.6,8000,14,5.984128974830955,5.981593611996386,5.981593611996386,True,5.94898038475116,5.94898038475116,False
1.5,32000,3,5.432519005630747,5.440374320215302,5.440374320215302,True,5.440374320215302,5.432519005630747,True
1.45,8000,34,5.492025762880408,5.490428886265766,5.490428886265766,True,5.488067071301636,5.488067071301636,False
1.45,8000,36,5.393510875411452,5.376923155589905,5.376923155589906,True,4.919793574149173,4.919793574149173,False
1.4,16000,7,5.608818561566615,5.607719339346934,5.607719339346934,True,5.603126307671178,5.603126307671178,False
1.4,32000,31,5.276137138283947,5.258984608018571,5.258984608018571,True,4.801454694236782,4.801454694236782,False
1.35,8000,34,5.462664028504994,5.461283807886714,5.461283807886714,True,5.459229056942235,5.459229056942235,False
1.5,2000,13,4.54160175093149,4.535947593194653,4.535947593194653,True,4.317111592782144,4.317111592782144,False
1.5,8000,1,5.685348186265022,5.668884670618583,5.668884670618583,True,5.2626163578405105,5.2626163578405105,False
1.35,8000,12,5.5293020957771075,5.5135061616869985,5.5135061616869985,True,5.27561366142491,5.27561366142491,False
1.45,8000,24,5.48306317656552,5.465884886223762,5.465884886223762,True,4.829886457434852,4.829886457434852,False
1.5,32000,0,4.442180353285101,4.450725545211375,4.450725545211375,True,4.450725545211375,4.442180353285101,True
1.35,4000,31,5.265920206369242,5.248742434432053,5.248742434432053,True,4.771837301012766,4.771837301012766,False
1.6,2000,16,4.489199475571356,4.491324967925013,4.491324967925013,True,4.491324967925013,4.489199475571356,True
1.5,4000,36,5.397481275179649,5.380915922568831,5.380915922568831,True,5.100414102336115,5.100414102336115,False
1.4,32000,21,4.646308895111845,4.65452962541365,4.65452962541365,True,4.65452962541365,4.646308895111845,True
1.3,16000,12,5.513507331465343,5.497685458054218,5.497685458054218,True,5.26004933203311,5.26004933203311,False
1.35,16000,33,4.875478644616853,4.884994080567392,4.884994080567392,True,4.726003590487097,4.726003590487097,False
1.45,2000,22,4.2722608163864795,4.281192471341813,4.281192471341813,True,4.281192471341813,4.2722608163864795,True
1.45,8000,27,5.465569514187737,5.4607532542065735,5.4607532542065735,True,5.4467941603999135,5.4467941603999135,False
1.6,8000,10,5.25267485751978,5.23637417130755,5.23637417130755,True,4.813818649760069,4.813818649760069,False
1.5,8000,0,4.442180353285101,4.450725545211375,4.450725545211375,True,4.450725545211375,4.442180353285101,True
1.6,8000,22,4.295004102708948,4.3038253711226435,4.3038253711226435,True,4.3038253711226435,4.295004102708948,True
1.5,32000,15,5.189189201261068,5.185736826475296,5.185736826475296,True,5.120395438087898,5.120395438087898,False
1.45,2000,34,5.492025762880408,5.490428886265766,5.490428886265766,True,5.487735959382991,5.487735959382991,False
1.3,16000,27,5.405304836256203,5.400750486862613,5.400750486862613,True,5.38189830695293,5.38189830695293,False
1.3,8000,1,5.6544697796492915,5.637974509871039,5.637974509871039,True,5.224312943241731,5.224312943241731,False
1.35,2000,30,5.186828508193883,5.176348178222684,5.176348178222684,True,4.672175263864544,4.672175263864544,False
1.45,2000,7,5.616269519345497,5.615046754451699,5.615046754451699,True,5.6094912129400045,5.6094912129400045,False
1.5,4000,26,4.848254285250167,4.849450305314386,4.849450305314387,True,4.849450305314387,4.848254285250167,True
1.3,2000,16,4.4382790502193945,4.45080731646027,4.45080731646027,True,4.45080731646027,4.4382790502193945,True
1.3,16000,33,4.859915448844148,4.869447372773807,4.869447372773807,True,4.802229075886319,4.802229075886319,False
1.5,4000,18,5.416279640401204,5.400284700612519,5.400284700612519,True,4.608031774716128,4.608031774716128,False
1.3,16000,17,4.402435846155924,4.3979277512682335,4.3979277512682335,True,4.315675214176886,4.315675214176886,False
