a,seed,w2,margin,solved,gstar,bound
1.45,24,4.535422469045605,-0.06953678154533627,False,0.1512839606725933,
1.45,25,5.132040042617387,-0.04046519397409298,False,0.1512839606725933,
1.45,26,3.9004835407517247,-0.16670329870674827,False,0.1512839606725933,
1.45,27,3.9763679118651916,-0.2663666246579197,False,0.1512839606725933,
1.45,28,3.711189847249831,-0.2423144691238921,False,0.1512839606725933,
1.45,29,3.0282902501881743,-0.2573229142309188,False,0.1512839606725933,
1.45,30,0.4532828693030424,-0.01527653407579399,False,0.1512839606725933,
1.45,31,3.367024099150358,-0.32705832029174786,False,0.1512839606725933,
1.45,32,3.2980517813232533,-0.18838365726224815,False,0.1512839606725933,
1.45,33,3.446694234130153,-0.23981691214296674,False,0.1512839606725933,
1.45,34,4.523388299614852,0.0026158072695636747,True,0.1512839606725933,0.03458142235216553
1.45,35,3.6510828217956575,-0.1810031819392588,False,0.1512839606725933,
1.45,36,3.721990564922648,-0.20091005539382678,False,0.1512839606725933,
1.45,37,4.891399671413236,0.05385273648913369,True,0.1512839606725933,0.7119424458443556
1.45,38,5.29859921392692,-0.08987446523658882,False,0.1512839606725933,
1.45,39,2.3477942407301295,-0.41701906390861243,False,0.1512839606725933,
1.45,40,4.109525906928406,-0.0026273937589866847,False,0.1512839606725933,
1.45,41,0.3795464389728324,-0.1588646278648373,False,0.1512839606725933,
1.45,42,1.8895806539841595,-0.4925667064194048,False,0.1512839606725933,
1.45,43,4.01695837479006,-0.17585081035596417,False,0.1512839606725933,
1.45,44,0.3800131872652004,-0.2390111261100969,False,0.1512839606725933,
1.45,45,4.965439972112888,-0.019072406609502934,False,0.1512839606725933,
1.45,46,0.5974304141760619,-0.0940528274903937,False,0.1512839606725933,
1.45,47,4.880606663139509,-0.058738300829947576,False,0.1512839606725933,
1.45,48,4.031121019894347,-0.11522144905634946,False,0.1512839606725933,
1.45,49,2.3762165379720797,-0.43771027918497296,False,0.1512839606725933,
1.45,50,3.4856452771395965,-0.22805174641575654,False,0.1512839606725933,
1.45,51,4.666505882568472,-0.055203235948178886,False,0.1512839606725933,
1.45,52,5.951083438358872,0.1444062420915948,True,0.1512839606725933,1.9090753765247703
1.45,53,3.8567249998532795,-0.20295939976704602,False,0.1512839606725933,
1.45,54,4.654359986732849,-0.07608488955696124,False,0.1512839606725933,
1.45,55,0.36917358305714604,-0.028523517330384274,False,0.1512839606725933,
1.45,56,0.728173094282935,-0.11159016424102747,False,0.1512839606725933,
