search,depth,seed,eval_errors,dense_errors,separated,lr,errors_after_swap,train_errors
restarts,8,35,71,,False,,,
restarts,8,36,82,,False,,,
restarts,8,37,61,,False,,,
restarts,8,38,22,,False,,,
restarts,8,39,73,,False,,,
restarts,8,40,58,,False,,,
restarts,8,41,4,,False,,,
restarts,8,42,68,,False,,,
restarts,8,43,48,,False,,,
restarts,8,44,91,,False,,,
restarts,8,45,79,,False,,,
restarts,8,46,33,,False,,,
restarts,8,47,84,,False,,,
restarts,8,48,87,,False,,,
restarts,8,49,54,,False,,,
restarts,8,50,15,,False,,,
restarts,8,51,27,,False,,,
restarts,8,52,32,,False,,,
restarts,8,53,13,,False,,,
restarts,8,54,26,,False,,,
restarts,8,55,8,,False,,,
restarts,8,56,8,,False,,,
restarts,8,57,7,,False,,,
restarts,8,58,22,,False,,,
restarts,8,59,138,,False,,,
restarts,8,60,14,,False,,,
restarts,8,61,69,,False,,,
restarts,8,62,24,,False,,,
restarts,8,63,102,,False,,,
restarts,8,64,53,,False,,,
restarts,8,65,73,,False,,,
restarts,8,66,45,,False,,,
restarts,8,67,34,,False,,,
restarts,8,68,75,,False,,,
restarts,8,69,20,,False,,,
restarts,8,70,20,,False,,,
restarts,8,71,79,,False,,,
restarts,8,72,13,,False,,,
restarts,8,73,31,,False,,,
restarts,8,74,67,,False,,,
restarts,8,75,70,,False,,,
restarts,8,76,44,,False,,,
restarts,8,77,44,,False,,,
restarts,8,78,79,,False,,,
restarts,8,79,28,,False,,,
restarts,8,80,56,,False,,,
restarts,8,81,69,,False,,,
restarts,8,82,68,,False,,,
restarts,8,83,25,,False,,,
restarts,8,84,62,,False,,,
restarts,8,85,52,,False,,,
restarts,8,86,10,,False,,,
restarts,8,87,64,,False,,,
restarts,8,88,29,,False,,,
restarts,8,89,68,,False,,,
restarts,8,90,72,,False,,,
restarts,8,91,80,,False,,,
restarts,8,92,10,,False,,,
restarts,8,93,87,,False,,,
restarts,8,94,39,,False,,,
restarts,8,95,69,,False,,,
restarts,8,96,33,,False,,,
restarts,8,97,27,,False,,,
restarts,8,98,73,,False,,,
restarts,8,99,31,,False,,,
restarts,8,100,95,,False,,,
restarts,8,101,31,,False,,,
restarts,8,102,78,,False,,,
restarts,8,103,54,,False,,,
restarts,8,104,17,,False,,,
restarts,8,105,113,,False,,,
restarts,8,106,24,,False,,,
restarts,8,107,9,,False,,,
restarts,8,108,27,,False,,,
restarts,8,109,27,,False,,,
restarts,8,110,7,,False,,,
restarts,8,111,60,,False,,,
restarts,8,112,57,,False,,,
restarts,8,113,13,,False,,,
restarts,8,114,65,,False,,,
restarts,8,115,85,,False,,,
restarts,8,116,59,,False,,,
restarts,8,117,10,,False,,,
restarts,8,118,26,,False,,,
restarts,8,119,77,,False,,,
restarts,8,120,20,,False,,,
restarts,8,121,70,,False,,,
restarts,8,122,57,,False,,,
restarts,8,123,63,,False,,,
restarts,8,124,74,,False,,,
restarts,8,125,7,,False,,,
restarts,8,126,68,,False,,,
restarts,8,127,72,,False,,,
restarts,8,128,55,,False,,,
restarts,8,129,20,,False,,,
restarts,8,130,68,,False,,,
restarts,8,131,31,,False,,,
restarts,8,132,59,,False,,,
restarts,8,133,64,,False,,,
restarts,8,134,45,,False,,,
restarts,8,135,56,,False,,,
restarts,8,136,16,,False,,,
restarts,8,137,42,,False,,,
restarts,8,138,42,,False,,,
restarts,8,139,74,,False,,,
