act,seed,R2,variant,s,sigma,own_loss_recomputed,own_loss_recorded,own_match,pop_loss_stuck,own_gap_to_placed_found,pop_global_loss,pop_global_placed,s_direct,same_s,pop_gap
f1.50,630002,0.003,preserved,0.004381272344474136,1.0,0.6905364746532783,0.6905364746532783,True,0.6905810260196003,8.788473936593988e-06,0.6905695190120462,True,0.004381272344474136,True,1.1507007554034665e-05
f1.50,630002,0.03,reset,0.04381272344474136,1.0,0.6683429115505678,0.6683429115505678,True,0.6687619218378714,0.0010582186011885986,,,,,
f1.50,630007,0.003,preserved,0.004381272344474136,-1.0,0.6901124033760229,0.6901124033760229,True,0.6905898548494332,,0.6905695190120462,True,0.004381272344474136,True,2.033583738703104e-05
f1.50,630007,0.01,preserved,0.01460424114824712,-1.0,0.6831576313067537,0.6831576313067537,True,0.6847348558994375,,0.6845827109908045,True,0.01460424114824712,True,0.00015214490863302288
f1.50,630007,0.03,preserved,0.04381272344474136,-1.0,0.6642491204061062,0.6642491204061062,True,0.6688564327555498,-0.006988581548053041,,,,,
f1.50,630007,0.1,preserved,0.1460424114824712,-1.0,0.6086597350441876,0.6086597350441876,True,0.6224899295666613,-0.013591753993988487,,,,,
f1.50,630007,0.1,reset,0.1460424114824712,-1.0,0.6086597350441876,0.6086597350441876,True,0.6224899295107947,-0.013591753993988487,,,,,
f1.50,630010,0.003,reset,0.004381272344474136,-1.0,0.6902796776770631,0.6902796776770631,True,0.6905876148220474,,0.6905695190120462,True,0.004381272344474136,True,1.8095810001228507e-05
f1.50,630010,0.01,reset,0.01460424114824712,-1.0,0.6837107932428874,0.6837107932428874,True,0.6847270008985501,,0.6845827109908045,True,0.01460424114824712,True,0.00014428990774562056
f1.50,630012,0.003,preserved,0.004381272344474136,-1.0,0.6905291768430766,0.6905291768430766,True,0.6905810670567176,,0.6905695190120462,True,0.004381272344474136,True,1.1548044671405577e-05
f1.50,630012,0.003,reset,0.004381272344474136,-1.0,0.6905291768430766,0.6905291768430766,True,0.6905810670567181,,0.6905695190120462,True,0.004381272344474136,True,1.1548044671849667e-05
f1.50,630012,0.01,reset,0.01460424114824712,-1.0,0.6845340127192333,0.6845340127192333,True,0.6847051403633858,,0.6845827109908045,True,0.01460424114824712,True,0.00012242937258133413
f1.50,630012,0.03,reset,0.04381272344474136,-1.0,0.6682664374759831,0.6682664374759831,True,0.6687633893492608,0.0006157316199352225,,,,,
f1.50,630016,0.003,preserved,0.004381272344474136,1.0,0.690432466123243,0.690432466123243,True,0.6905837659639364,,0.6905695190120462,True,0.004381272344474136,True,1.4246951890228843e-05
f1.50,630016,0.003,reset,0.004381272344474136,1.0,0.690432466123243,0.690432466123243,True,0.6905837659639357,,0.6905695190120462,True,0.004381272344474136,True,1.4246951889451687e-05
f1.50,630016,0.01,preserved,0.01460424114824712,1.0,0.6842149064744609,0.6842149064744611,True,0.6847142374379162,,0.6845827109908045,True,0.01460424114824712,True,0.00013152644711167394
f1.50,630016,0.03,preserved,0.04381272344474136,1.0,0.6673368319835816,0.6673368319835816,True,0.6687914949636969,,,,,,
f1.50,630019,0.003,reset,0.004381272344474136,-1.0,0.690754108939369,0.690754108939369,True,0.6905815883883242,,0.6905695190120462,True,0.004381272344474136,True,1.2069376277956678e-05
f1.50,630019,0.03,preserved,0.04381272344474136,-1.0,0.6704203432608077,0.6704203432608077,True,0.6687698007040325,,,,,,
f1.50,630022,0.01,preserved,0.01460424114824712,1.0,0.685129138068304,0.685129138068304,True,0.6847053747053079,,0.6845827109908045,True,0.01460424114824712,True,0.00012266371450342373
f1.50,630022,0.01,reset,0.01460424114824712,1.0,0.685129138068304,0.685129138068304,True,0.6847053747056496,,0.6845827109908045,True,0.01460424114824712,True,0.00012266371484515037
f1.50,630022,0.03,preserved,0.04381272344474136,1.0,0.6699956244141874,0.6699956244141874,True,0.6687644695635007,,,,,,
f1.50,630024,0.003,preserved,0.004381272344474136,1.0,0.6904605527169616,0.6904605527169616,True,0.6905841989715763,,0.6905695190120462,True,0.004381272344474136,True,1.4679959530083941e-05
f1.50,630024,0.01,preserved,0.01460424114824712,1.0,0.6843079289571168,0.6843079289571168,True,0.6847155903905405,,0.6845827109908045,True,0.01460424114824712,True,0.00013287939973605223
f1.50,630024,0.03,reset,0.04381272344474136,1.0,0.6676104389716374,0.6676104389716374,True,0.6687947949783486,,,,,,
f1.50,630026,0.01,reset,0.01460424114824712,1.0,0.6848455561021046,0.6848455561021047,True,0.6847183085248173,,0.6845827109908045,True,0.01460424114824712,True,0.00013559753401282126
f1.50,630031,0.003,preserved,0.004381272344474136,-1.0,0.690149407662322,0.690149407662322,True,0.690600977362627,,0.6905695190120462,True,0.004381272344474136,True,3.1458350580826355e-05
f1.50,630031,0.003,reset,0.004381272344474136,-1.0,0.690149407662322,0.690149407662322,True,0.6906009773626619,,0.6905695190120462,True,0.004381272344474136,True,3.145835061568736e-05
f1.50,630031,0.01,preserved,0.01460424114824712,-1.0,0.6832800889857702,0.6832800889857704,True,0.6847720708507355,,0.6845827109908045,True,0.01460424114824712,True,0.00018935985993107085
f1.50,630033,0.003,preserved,0.004381272344474136,-1.0,0.6900906593909497,0.6900906593909497,True,0.6905947526556797,,0.6905695190120462,True,0.004381272344474136,True,2.523364363349323e-05
f1.50,630033,0.01,preserved,0.01460424114824712,-1.0,0.6830868360771873,0.6830868360771873,True,0.6847510823726916,-0.002999367523635499,0.6845827109908045,True,0.01460424114824712,True,0.000168371381887078
f1.50,630033,0.03,preserved,0.04381272344474136,-1.0,0.6640504961829484,0.6640504961829484,True,0.6689042203550027,,,,,,
f1.50,630034,0.003,preserved,0.004381272344474136,-1.0,0.6904429533945838,0.6904429533945838,True,0.6905866021744594,,0.6905695190120462,True,0.004381272344474136,True,1.708316241322283e-05
