setting,label,chi,obs,pred,branch_conditioned_post_hoc,reference,ratio,resolved
forced ramp (sgd),a=1.30 k=0 cell 1,0.0003376823133217,-0.00260836211996045,-0.0025118864315095,True,tracked-branch switch (post hoc),1.0384076633564097,False
forced ramp (sgd),a=1.30 k=0 cell 2,0.0008482196209935,-0.00650795400513925,-0.0063095734448019,True,tracked-branch switch (post hoc),1.031441199959529,True
forced ramp (sgd),a=1.30 k=0 cell 3,0.0021306313569139,-0.016061875828570348,-0.0158489319246111,True,tracked-branch switch (post hoc),1.0134358520165372,True
forced ramp (sgd),a=1.30 k=0 cell 4,0.0053519039959792,-0.0385538067228197,-0.0398107170553365,True,tracked-branch switch (post hoc),0.9684278399012581,True
forced ramp (sgd),a=1.30 k=0 cell 5,0.0134433750302456,-0.08748876479742455,-0.0999999999999923,True,tracked-branch switch (post hoc),0.8748876479743128,True
forced ramp (adam),a=1.50 k=0 cell 0,0.00012371257498069999,-0.0002000545275991,0.0005071051238940999,True,tracked-branch switch (post hoc),-0.39450306883682346,False
forced ramp (adam),a=1.50 k=0 cell 1,0.000202256937837,-0.00028385333148355,0.00082972449275735,True,tracked-branch switch (post hoc),-0.3421055229311664,False
forced ramp (adam),a=1.50 k=0 cell 2,0.00033329186320135,6.766832341930298e-05,0.0013655887900144502,True,tracked-branch switch (post hoc),0.04955248894404511,False
forced ramp (adam),a=1.50 k=0 cell 3,0.000568770362691,0.00100265501385915,0.0023219691660055497,True,tracked-branch switch (post hoc),0.4318123722478206,False
forced ramp (adam),a=1.50 k=0 cell 4,0.00093219487770035,0.0013972209354318,0.0037915024614987,True,tracked-branch switch (post hoc),0.36851378829898174,False
forced ramp (adam),a=1.50 k=0 cell 5,0.0015978831937046999,0.00434799988174745,0.006480638295599649,True,tracked-branch switch (post hoc),0.6709215486844468,True
forced ramp (sgd),a=1.50 k=0 cell 0,0.0002454354626755,0.00098863214285325,0.001,True,tracked-branch switch (post hoc),0.98863214285325,False
forced ramp (sgd),a=1.50 k=0 cell 1,0.0006165060085059,0.0024834310132475,0.0025118864315095,True,tracked-branch switch (post hoc),0.9886716939487984,False
forced ramp (sgd),a=1.50 k=0 cell 2,0.0015485930777102,0.00630570426201745,0.0063095734448019,True,tracked-branch switch (post hoc),0.9993867758544538,True
forced ramp (sgd),a=1.50 k=0 cell 3,0.0038898899398281,0.01601054717217905,0.0158489319246034,True,tracked-branch switch (post hoc),1.010197232743789,True
forced ramp (sgd),a=1.50 k=0 cell 4,0.0097709617599233,0.041408764615595,0.039810717055344,True,tracked-branch switch (post hoc),1.0401411398350204,True
forced ramp (sgd),a=1.50 k=0 cell 5,0.0245435462675535,0.11356705702082545,0.0999999999999987,True,tracked-branch switch (post hoc),1.1356705702082692,True
GELU/SiLU/Mish,gelu,0.0141941700592746,0.00168159498719,0.0020905208863954,True,tracked-branch switch (post hoc),0.804390426392489,False
GELU/SiLU/Mish,silu,0.22455460938007316,0.0142458380686658,-0.03242631799534265,True,tracked-branch switch (post hoc),-0.4393294999053519,True
GELU/SiLU/Mish,mish,0.255530280902751,0.03419362921759955,-0.03932035937501175,True,tracked-branch switch (post hoc),-0.8696163962155886,True
R^d band task,primary d=2 a=1.30,0.0031871026790901997,0.0251690296533675,0.0238241951322219,True,own R^d branch switch (post hoc),1.0564482667171715,True
R^d band task,primary d=2 a=1.50,0.012303798818360849,0.0539638228157519,0.0490487604682079,True,own R^d branch switch (post hoc),1.1002076770264115,True
R^d band task,primary d=4 a=1.30,0.0022988871438078,0.0190735722448194,0.0174957801243553,True,own R^d branch switch (post hoc),1.0901812956752759,True
R^d band task,primary d=4 a=1.50,0.0088508313679923,0.0383550359890234,0.0358109048771023,True,own R^d branch switch (post hoc),1.0710434746246202,True
R^d band task,secondary d=2 a=1.30,0.0031003832063303,0.0247821767103598,0.0236406079762463,True,own R^d branch switch (post hoc),1.048288467676488,True
R^d band task,secondary d=2 a=1.50,0.01232020600831895,0.0514619287120857,0.0493723830232422,True,own R^d branch switch (post hoc),1.0423221558469205,True
R^d band task,secondary d=4 a=1.30,0.0020684443664967,0.0138730217886634,0.0166084650409535,True,own R^d branch switch (post hoc),0.8352982502871285,True
R^d band task,secondary d=4 a=1.50,0.008066529368677699,0.0325427035201764,0.0337331540106487,True,own R^d branch switch (post hoc),0.9647097780985288,True
width 2,"T2-3 chi in (0.0001, 0.01]",0.0041449421221685,0.0355996097863231,0.0341789352269616,True,tracked-branch switch along the path (post hoc),1.0415657933732476,True
width 2,"T2-3 chi in (0.3, 3]",1.0868195298603442,0.7756001189966365,0.24303675235402789,True,tracked-branch switch along the path (post hoc),3.1912873731411278,True
width 2,"T2-3 chi in (3, inf]",28.953543839801547,12.453048971611079,0.3704548055071601,True,tracked-branch switch along the path (post hoc),33.61556871846379,True
width 2,"T2-3b chi in (0, 0.0001]",6.2318800474559084e-06,-0.00656965764062125,2.4417466709208288e-05,True,tracked-branch switch along the path (post hoc),-269.05566080463655,False
width 2,"T2-3b chi in (0.01, 0.0637]",0.02284121817520615,0.00103244394527695,0.00015160827894920002,True,tracked-branch switch along the path (post hoc),6.809944367371225,False
width 2,"T2-3c chi in (0, 0.0001]",1.178016863979791e-05,-0.0005454945804935,4.875254165086175e-05,True,tracked-branch switch along the path (post hoc),-11.189049063329355,False
width 2,"T2-3c chi in (0.01, 0.0637]",0.0206881594577962,0.001591715849015,0.0012281213194131,True,tracked-branch switch along the path (post hoc),1.2960575016934452,False
width 2,"T2-3c chi in (0.0637, 0.3]",0.1647801168727468,0.0197832180442441,0.0004944143146805,True,tracked-branch switch along the path (post hoc),40.01344106921418,False
width 2,"T2-3d chi in (0, 0.0001]",1.1146715883613658e-05,-0.0037618032602957504,4.5751998679520066e-05,True,tracked-branch switch along the path (post hoc),-82.22161586089666,False
width 2,"T2-3d chi in (0.01, 0.0637]",0.025586528370292,0.0021993627535439,0.0008962761851822,True,tracked-branch switch along the path (post hoc),2.4538895375166097,False
width 2,"T2-3d chi in (0.0637, 0.3]",0.0882259233549781,0.0276296691110564,0.002303356115698,True,tracked-branch switch along the path (post hoc),11.995396162474691,False
width 2,"T2-3d chi in (0.3, 3]",0.510452176935267,1.1826538767926449,-0.0026193854899448,True,tracked-branch switch along the path (post hoc),-451.50050702066295,False
