a,s,d,start,L_final_minus_L1star,wnoise_norm_final,grad_max,G_rd_final,w1,b1,G1_branch,L1star,branch_grad,noise_block_rel_err,noise_block_min_eig,cross_max_abs
1.3,4.9625,2,branch+noise,0.0,4.064749317345572e-17,7.46906876625264e-16,0.00014956012266775787,-0.8333477165737472,3.8316612738325686,0.00014956012266731378,0.3491099646354972,2.80483102022e-16,4.38999661709245e-15,2.3266650791444983,3.144186300207963e-18
1.3,4.9625,2,branch+noise,0.0,3.8852590653554455e-17,7.46906876625264e-16,0.00014956012266775787,-0.8333477165737472,3.8316612738325686,0.00014956012266731378,0.3491099646354972,2.80483102022e-16,4.38999661709245e-15,2.3266650791444983,3.144186300207963e-18
1.3,4.9625,2,branch+noise,0.0,5.932711562701884e-17,1.1505993911548745e-15,0.0001495601226664256,-0.8333477165737481,3.8316612738325695,0.00014956012266731378,0.3491099646354972,2.80483102022e-16,4.38999661709245e-15,2.3266650791444983,3.144186300207963e-18
1.3,4.9625,2,branch+noise,0.0,4.5992842012661124e-17,1.1505993911548745e-15,0.0001495601226664256,-0.8333477165737481,3.8316612738325695,0.00014956012266731378,0.3491099646354972,2.80483102022e-16,4.38999661709245e-15,2.3266650791444983,3.144186300207963e-18
1.3,4.9625,2,random,0.3440372159244481,5.218338260573854e-14,4.879929793588644e-12,-6.770140004164205e-13,-4.134455753654243e-14,-0.582221419927823,0.00014956012266731378,0.3491099646354972,2.80483102022e-16,4.38999661709245e-15,2.3266650791444983,3.144186300207963e-18
1.3,4.9625,2,random,0.0,9.961476048006552e-17,1.7498758518585955e-12,0.00014956012369227167,0.8333477165728813,3.8316612738317675,0.00014956012266731378,0.3491099646354972,2.80483102022e-16,4.38999661709245e-15,2.3266650791444983,3.144186300207963e-18
1.3,4.9625,2,random,0.0,2.761210857879934e-17,4.3255329873481685e-15,0.00014956012266909013,0.8333477165737457,-2.451524033347019,0.00014956012266731378,0.3491099646354972,2.80483102022e-16,4.38999661709245e-15,2.3266650791444983,3.144186300207963e-18
1.3,4.9625,2,random,0.3440372159244481,1.6479546391978572e-13,7.533175472307363e-12,-1.4210854715202004e-12,3.153341585685717e-14,0.8051535743264039,0.00014956012266731378,0.3491099646354972,2.80483102022e-16,4.38999661709245e-15,2.3266650791444983,3.144186300207963e-18
1.3,4.9625,2,random,0.37128257843611306,0.6839090332885266,5.214579609718308e-15,-0.27500495743010767,-3.798462178567595e-16,3.141592653589811,0.00014956012266731378,0.3491099646354972,2.80483102022e-16,4.38999661709245e-15,2.3266650791444983,3.144186300207963e-18
1.3,4.9625,2,random,0.0,1.7381414751391733e-17,5.024192867297828e-16,0.00014956012266775787,-0.8333477165737474,3.8316612738325686,0.00014956012266731378,0.3491099646354972,2.80483102022e-16,4.38999661709245e-15,2.3266650791444983,3.144186300207963e-18
1.3,4.9625,2,random,0.3725341672519868,0.6370276504861514,4.844323726882482e-15,-0.28432082941331416,-0.09759554917018542,3.2242792647400327,0.00014956012266731378,0.3491099646354972,2.80483102022e-16,4.38999661709245e-15,2.3266650791444983,3.144186300207963e-18
1.3,4.9625,2,random,0.0,7.659016400926239e-18,6.507490570982922e-13,0.00014956012304656596,-0.833347716573424,-2.4515240333473134,0.00014956012266731378,0.3491099646354972,2.80483102022e-16,4.38999661709245e-15,2.3266650791444983,3.144186300207963e-18
1.3,4.9625,4,branch+noise,5.551115123125783e-17,2.8140797640289154e-16,1.8644591079364226e-14,0.00014956012266820196,-0.8333477165737564,3.8316612738325646,0.00014956012266731378,0.34910996463549715,2.80483102022e-16,1.1452165088067263e-15,2.326665079144489,4.163336342344337e-17
