arm,d,a,seed,placed_at_init,crossed,step,s_cross,w2_own,G1_first_step,s_at_G1_first,half_step,rho_init,steps_run,rho_half,rho_cross,wnoise_l2_cross,wnoise_l1_cross,G_at_cross,G1_at_cross,w1_end,wnoise_l2_end,s_end,rho_end,G_end,G1_end,r_pop,obs_r_own,branch_converged,branch_grad,branch_wnoise_l2,branch_dist,growth,relax_sig,relax_full,chi,winding_k,mirror,kappa_k,pred_r,G_numpy_at_cross,widening_rel
primary,4,1.5,880017,False,True,1415.0,3.4704951057350177,2.671875,1114.0,2.798540232636679,429.0,11.326297803943874,64000,0.017328548183646698,0.01538740164614741,0.015352355009911995,0.021294511461240808,5.95883828506949e-05,0.06382242235048219,0.9576435150584086,0.0014774982016076332,122.64168889126736,0.0015428478117115612,0.16927917590093422,0.17426459454053056,0.37105979485827856,0.29889875302363245,True,2.126396888429971e-11,0.01501885816497416,0.097161195877419,0.0006637623511230894,0.07217375118145221,0.07212379916791548,0.009196727899791752,0.0,True,4.046049844154416,0.03721041948568298,5.95883828506949e-05,0.05335780740170625
primary,4,1.5,880018,False,True,1154.0,3.2188279130215163,2.746875,915.0,2.594136320504846,431.0,1.650759294707183,64000,0.01864611099459427,0.011671724774422382,0.0114733638610342,0.019866997545654977,0.00010725276310363796,0.05966911246913309,0.9506130858632568,0.01092646855796902,124.65668768369761,0.011494128074248669,0.14544966056121167,0.1746227415603241,0.2716357187245497,0.1718144848314962,True,2.932842150561721e-10,0.011057857486043564,0.0823733209513815,0.0008402796074885721,0.09847844437018687,0.09833218597725553,0.008532624706477964,0.0,True,4.046049844154416,0.03452342486387328,0.00010725276310363796,0.05052618618558048
primary,4,1.5,880019,False,True,1674.0,3.519927364893178,2.421875,1372.0,2.520365887036127,1079.0,2.264767995298222,64000,0.01933035542409496,0.02195403878079418,0.021631994052178537,0.03376401927466327,9.202783471362608e-05,0.09943464205909525,0.9570724106701047,0.006999920687133212,123.48755687081702,0.007313888279604822,0.14758115730171095,0.1746976000658229,0.39058858859977397,0.453389363568796,True,4.726287289053693e-10,0.021611317445048992,0.0893882662883776,0.000934394959371948,0.1084811289904502,0.10811162858105874,0.00861343321246412,0.0,True,4.046049844154416,0.03485038010692492,9.202783471318199e-05,0.08566669660266345
primary,4,1.5,880020,False,True,1851.0,4.073907008346525,2.596875,1373.0,2.773221255337619,921.0,5.132021072302988,64000,0.033070338186400254,0.023436757910506683,0.02250322788373172,0.034709301067628595,9.187122594989106e-05,0.10186676804263595,0.9408680571102829,0.023160007701769313,120.12578833832227,0.02461557444398884,0.08091276021170346,0.17356000905018387,0.6094447440381334,0.5687728551996247,True,1.2406414318186926e-09,0.022584441576222178,0.09142384374010959,0.0006594613707085211,0.08841618466130162,0.08829477749512013,0.007458604702688071,0.0,False,4.046049844154416,0.030177886394920462,9.187122594989106e-05,0.09037297788653996
primary,4,1.5,880021,False,True,1678.0,3.965968431607107,2.4156250000000004,1034.0,2.550919904369905,453.0,1.6259560787596592,64000,0.03863131774553775,0.03297204667041555,0.03209081333090195,0.04296850364375839,0.0007684990709342365,0.1254201179844867,0.9408697676683794,0.009225296789166228,118.28001891627598,0.00980507303580169,0.14502389730194531,0.17079268648910206,0.5668023433509559,0.6417980570689186,True,5.424037954893102e-13,0.03304140574298402,0.09857956298379911,0.0005667134285651657,0.06996810977420267,0.06988267354539666,0.008099596093049145,0.0,True,4.046049844154416,0.03277136950999521,0.0007684990709342365,0.11037111251210087
primary,4,1.5,880022,False,False,,,2.4593749999999996,,,,20.316684333456323,64000,,,,,,,1.7019564992322098,2.233986138577754,0.07082522154136223,1.3125988470243244,-15.845463971529899,-6.778786927481942,,,,,,,,,,,,,,,,
primary,4,1.5,880023,False,True,1130.0,3.533696394163975,2.515625,801.0,2.642626505339415,331.0,4.617301081485866,64000,0.02590422792887593,0.02116149042435987,0.020939881833218012,0.029464497252950146,0.00019922245566172947,0.08741403656247426,0.9416172610941312,0.010098107237875,117.52296011434754,0.010724216361689567,0.14543650173545064,0.1721324740707355,0.39602820510181735,0.40469918774220126,True,5.655814562348371e-10,0.020861849312696246,0.08711209765784744,0.0007837414148390899,0.09579690108193634,0.09555938781709288,0.008181281502715267,0.0,True,4.046049844154416,0.03310187274904451,0.00019922245566172947,0.07444080647673139
primary,4,1.5,880024,False,True,1182.0,2.955127298042842,2.621875,1094.0,2.7480529001875325,475.0,43.78779008677222,64000,0.010715699547833937,0.006422364339660216,0.00659537990637451,0.00930199852257177,2.1685018121164745e-05,0.028994691661552885,0.9508745470456212,0.014416858357906152,120.10221848471848,0.015161682897811815,0.14157073291201216,0.17280746221350451,0.16745769799223398,0.12710457136318154,True,2.5993778744043405e-11,0.006293680467371297,0.09501341723590606,0.0008299463977099779,0.07819568544114552,0.07817358586733528,0.010613710884785866,0.0,True,4.046049844154416,0.04294360327128788,2.1685018121164745e-05,0.022644951635461038
primary,4,1.5,880025,False,True,1454.0,4.01847001396236,2.828125,799.0,2.420613871460066,345.0,2.183563661210017,64000,0.046104194133448406,0.0343869036774783,0.03314576960375246,0.04686229206499451,6.182493428719127e-05,0.13524917302453154,0.9486486648364142,0.002935945742614905,119.73763770085115,0.0030948715277232613,0.16616419804876648,0.17352479162816525,0.5875437092196978,0.4208954745502267,True,1.0304533112209802e-09,0.03376377155242373,0.09337648947923682,0.0006119227955131642,0.079764722884342,0.07967319330801169,0.0076715968336083335,0.0,True,4.046049844154416,0.031039663173036507,6.182493428719127e-05,0.12154259371627234
primary,4,1.5,880026,False,True,1071.0,3.3444056464327105,2.784375,768.0,2.541537377339423,327.0,0.8579037863768949,64000,0.031077835077421765,0.023628924978947533,0.023210351984317663,0.02739404841656664,0.00013517899300108382,0.08142746229577913,0.94741435445025,0.017048539325129387,119.74106630765563,0.017994807915932446,0.10661300143276531,0.17425563062729443,0.32124667513391025,0.20113334103082758,True,1.5431319416725486e-13,0.021994959297160204,0.10040649405633673,0.0008110685498837508,0.08110098831631113,0.08093516836913986,0.010000723378615446,0.0,True,4.046049844154416,0.040463425267478446,0.00013517899300108382,0.06972017435819798
primary,4,1.5,880027,False,True,3361.0,6.056223648060139,2.871875,1825.0,3.178665103694258,682.0,0.831480576532937,64000,0.0472647716102773,0.03190328160865137,0.02970772930122713,0.04752755424382564,5.972516147867424e-06,0.1363237541492044,0.9295279793052398,0.01793319958218194,119.54421418385688,0.01929280234854879,0.12630873081332394,0.17058647997869691,1.3925821819496846,1.1088047523169142,True,3.859137402001389e-12,0.030273252900007246,0.08823508584063333,0.0003205194937680079,0.06734924334684433,0.06725502149447231,0.004759065994510923,0.0,False,4.046049844154416,0.0192554182254115,5.972516147867424e-06,0.12760020564316488
primary,4,1.5,880028,False,False,,,2.3843750000000004,,,,2.4452250843642553,64000,,,,,,,0.09457058164708969,2.331733148482659,0.06561362592083732,24.65600938338329,-15.732859373625178,-0.40143796022803,,,,,,,,,,,,,,,,
primary,4,1.5,880029,False,False,,,2.6156249999999996,,,,39.62275962803839,64000,,,,,,,0.4941064577311476,2.5872815043112354,0.07864944151808292,5.236283525197363,-19.40348655790269,-3.2295636391073215,,,,,,,,,,,,,,,,
primary,4,1.5,880030,False,False,,,2.528125,,,,0.9689637096069837,64000,,,,,,,0.004252264862968322,1.0186673434323004,0.35880317573334003,239.5587707396977,-5.062676315202804,-0.0015205062861460839,,,,,,,,,,,,,,,,
primary,4,1.5,880031,False,False,,,2.515625,,,,2.4119690459160315,64000,,,,,,,0.9974081939037851,3.713525504609957,0.07798749378198036,3.723175252927772,-22.711284907701764,-0.6905711025240064,,,,,,,,,,,,,,,,
