arm,d,a,seed,s_branch,s_branch_note,branch_placed_at_s_c,s_branch_G1,s_branch_G1_note
secondary,2,1.3,880043,6.383867745524023,,True,5.040509283289083,
secondary,2,1.3,880044,5.417173002742304,,True,5.256167578246056,
secondary,2,1.3,880045,6.6350957492468225,,True,6.150149549031857,
secondary,2,1.3,880046,5.84330108674483,,False,4.929213388595629,
secondary,2,1.3,880047,4.5823163569869525,,True,4.492217627922229,
secondary,2,1.3,880048,4.896677363304132,,True,4.635761244574425,
secondary,2,1.3,880049,5.273157900398644,,True,4.6596461110244265,
secondary,2,1.3,880052,6.1791537941562495,,True,5.557789776300228,
secondary,2,1.3,880053,4.843700540577566,,True,4.6342123353665645,
secondary,2,1.3,880055,6.185256456538805,,True,6.047046335964001,
secondary,2,1.3,880056,6.549991867695011,,True,5.363883567435563,
secondary,2,1.3,880057,5.687310659914114,,True,5.534398504043655,
secondary,2,1.3,880058,5.511637221516839,,True,5.118644715557135,
secondary,2,1.3,880059,4.094459061657664,,True,3.9577601689695125,
secondary,2,1.3,880060,6.500617329897844,,True,5.862875257679467,
secondary,2,1.3,880061,6.094223234140137,,True,5.132960893149612,
secondary,2,1.3,880062,4.7657309199162645,,True,4.423953301696422,
secondary,2,1.3,880063,5.832910316927446,,True,5.684736723531787,
secondary,2,1.3,880064,5.953919207812988,,True,5.891476719975009,
secondary,2,1.3,880065,5.390593255738644,,True,5.276039190361127,
secondary,2,1.3,880066,5.810775736918598,,True,5.023552814346563,
secondary,2,1.3,880067,6.032892823494431,,True,5.1207439029777095,
secondary,2,1.3,880068,5.677462535243184,,True,4.928122099572327,
secondary,2,1.3,880069,6.0472149887867275,,True,5.869081639370716,
secondary,2,1.3,880070,6.179028983302523,,True,5.396090194701991,
secondary,2,1.3,880071,6.881660396110879,,True,5.504136834422015,
secondary,2,1.3,880072,6.466551370591708,,True,5.837976511632853,
secondary,2,1.3,880073,5.616306859524281,,True,5.349034104607117,
secondary,2,1.3,880074,5.736834741863635,,True,5.626416649144626,
secondary,2,1.3,880075,6.946054489623251,,True,6.348025256788823,
secondary,2,1.3,880076,5.9619477169693305,,True,5.473867971962811,
secondary,2,1.3,880077,5.5629128135936545,,True,5.256921111733956,
secondary,2,1.3,880078,5.292644717442539,,True,4.897200027521569,
secondary,2,1.3,880079,5.820396790745823,,True,5.661894828986288,
secondary,2,1.3,880080,6.002116903398145,,True,5.060609239738599,
secondary,2,1.3,880081,5.746584412670925,,True,5.2979270783305275,
secondary,2,1.3,880082,6.790191675012377,,True,5.20348573616495,
secondary,2,1.3,880083,4.729853801117193,,True,4.6980814287681785,
secondary,2,1.3,880084,6.28949265608291,,True,4.916446720684229,
secondary,2,1.3,880085,5.514069438521744,,True,4.819313219288172,
secondary,2,1.3,880086,5.62528117947293,,True,5.064681199987341,
secondary,2,1.3,880087,5.983911316340463,,True,5.5230800516698935,
secondary,2,1.3,880088,6.538200963242655,,True,6.284183873958984,
secondary,2,1.3,880089,5.345466042624253,,True,5.30375034144628,
secondary,2,1.3,880090,7.149570865419251,,True,5.518413369356214,
secondary,2,1.3,880091,6.607704929068285,,True,5.650315133157589,
secondary,2,1.3,880092,6.4601870109006825,,True,5.234285893689012,
secondary,2,1.3,880093,5.6160891112959135,,True,5.325547573594073,
secondary,2,1.3,880094,5.864252727828129,,True,5.581267452393229,
secondary,2,1.3,880095,5.890355691567013,,True,4.873320678212563,
