a,seed,reproduced,sqrt_v_w1,sqrt_v_b1,sqrt_v_b2
1.45,830023,True,0.015509198880913634,0.006214150882738234,0.012265928903224867
1.45,830025,True,0.017781680366879375,0.0064228397072432315,0.01170686839359124
1.45,830026,True,0.0056445311299894545,0.013425040905618427,0.023357409171946886
1.45,830027,True,0.008612622859182779,0.010232705061354569,0.01585658476091325
1.45,830028,True,0.026928868492936794,0.002876718882180153,0.01559922566644497
1.45,830030,True,0.026194748103383333,0.001225169842921475,0.014755824376080234
1.45,830031,True,0.012766201452213943,0.015296939181444194,0.021692260964631293
1.45,830029,True,0.013992013990379438,0.0089547526337026,0.01111891046109563
1.45,830032,True,0.058518286962652294,0.015475620956728846,0.010794888057027913
1.45,830034,True,0.014994772892517947,0.010519755917833381,0.021294172448069224
1.45,830033,True,0.014670586417860272,0.007662633623306054,0.01201625129251425
1.45,830036,True,0.013406481312734933,0.01236190353867859,0.019362565562987905
1.45,830037,True,0.01825610650942554,0.01191688162491133,0.017516550267906654
1.45,830038,True,0.005205836163983697,0.014935485791823239,0.024281491112412536
1.45,830039,True,0.012964635702007806,0.009358541745498862,0.03348707773293851
1.45,830035,True,0.009876227497829241,0.012152662727480024,0.010653111511102938
1.45,830040,True,0.003915675965808078,0.012646470811823773,0.026362243345623416
1.45,830041,True,0.01582524513974693,0.005871985991463548,0.022457893981738183
1.45,830042,True,0.00728928024812762,0.008666018712598629,0.030573630733720634
1.45,830043,True,0.0024380888518330465,0.018304562484909605,0.026571063965524364
1.45,830044,True,0.015716951928922696,0.016080651124735848,0.021748783310504324
1.45,830045,True,0.0233504212477023,0.002249004804978068,0.011853496186204616
1.45,830047,True,0.018470817873101897,0.022344067329907798,0.018180359599366914
1.45,830046,True,0.016101984933528293,0.006788515304148202,0.01179229843745453
1.45,830048,True,0.01106640103148013,0.006782412813183185,0.02393938468933591
1.45,830050,True,0.01756583112617771,0.022938388043940185,0.02060534005373559
1.45,830051,True,0.005560990066972971,0.014422708790728956,0.027518878846044967
1.45,830049,True,0.01404585737034899,0.009711369353463645,0.010780941670799259
1.45,830052,True,0.009901379867400962,0.008642885009741181,0.026231163779244396
1.45,830053,True,0.04170126573228953,0.0034002776050231017,0.009414466004949943
1.45,830054,True,0.006056693840700668,0.00899516898348558,0.01761184616708664
1.45,830055,True,0.010828639164532066,0.016155511501094857,0.022674394939282794
1.45,830056,True,0.004382861309167357,0.012467712735350944,0.027231603119181436
1.45,830057,True,0.009530755802589594,0.015930719248215406,0.03305710069115678
1.45,830058,True,0.023163395935879315,0.020190342581027122,0.01246782049524672
1.45,830059,True,0.0155590126948614,0.007194240939460158,0.01663651925498567
1.45,830060,True,0.007890497653342007,0.0056065873155804954,0.024088059762437213
1.45,830061,True,0.003466906717814037,0.013917996265658946,0.030077477172890367
1.45,830063,True,0.04313399471747318,0.0063918181465623825,0.0161454824805398
1.45,830064,True,0.00714565807353552,0.010085390664381503,0.022127921471710672
1.45,830062,True,0.010437400100960023,0.011114589100569894,0.012183527431439644
1.45,830065,True,0.00838542589594639,0.02731520607258723,0.02199230540557849
1.45,830067,True,0.011943912982166347,0.012681039023678764,0.02118057810762825
1.45,830066,True,0.024081909032827573,0.010765247047104886,0.01643236885173225
1.45,830068,True,0.0072598022811252196,0.009715332854827579,0.02496376583466933
1.45,830070,True,0.03484121157529907,0.02775170925983337,0.01962773944301251
1.45,830069,True,0.014859086520007513,0.006438450965643669,0.012279491689447473
1.45,830071,True,0.012711316292100146,0.019093798125857465,0.01833193629723752
1.45,830072,True,0.033360775525951424,0.004168844865328343,0.010438163269668432
1.45,830073,True,0.01608331347918846,0.0029527138560091456,0.0192785706728409
1.45,830074,True,0.06135633081935379,0.005818596655423947,0.012155843849117698
1.45,830075,True,0.0012999170799084603,0.01469596573548132,0.030674138320529006
