set,a,seed,arm,w1,b1,w2,reproduced
lag1,1.5,300029,1.0,1.0270921571751648,2.293103854719152,-2.6944110920214652,True
lag1,1.5,300030,1.0,1.0210054264362105,2.291179446223078,-2.8261198008772914,True
lag1,1.5,300031,1.0,-1.0241682352240509,2.291998473232497,-2.6902841731564218,True
lag1,1.5,300032,1.0,-1.024188377961795,2.292068735024267,-2.635363260831595,True
lag1,1.5,300033,1.0,1.0273111684112937,2.2930850637219113,-2.636186666059535,True
lag1,1.5,300034,1.0,1.014003280128765,-2.2891989543299336,2.7479229211504745,True
lag1,1.5,300035,1.0,-1.020454828768664,2.290996221482722,-2.7930971072343147,True
lag1,1.5,300036,1.0,-1.023222253285245,2.2918245194472338,-2.768811200997312,True
lag1,1.5,300037,1.0,-1.0315119116202949,2.2945374901875604,-2.640033056072488,True
lag1,1.5,300038,1.0,1.0246419176627932,-2.2922079623645266,2.6901820308771742,True
lag1,1.5,300039,1.0,-1.0213235131238545,2.29123317059053,-2.7448604471236195,True
lag1,1.5,300040,1.0,-1.0169962705883204,2.2900979232220524,-2.718665137473416,True
lag1,1.5,300041,1.0,-1.0252425784516637,2.29243397415608,-2.626981898477914,True
lag1,1.5,300042,1.0,-1.0235985342207556,-2.292202196456599,2.7740462328338404,True
lag1,1.5,300043,1.0,1.0239041092040828,2.2920552017399163,-2.693670650952021,True
lag1,1.5,300044,1.0,-1.0218633581889782,-2.2914297733994156,2.7942610647897204,True
lag1,1.5,300045,1.0,1.0230324486462357,-2.2919592661348536,2.701324852874936,True
lag1,1.5,300046,1.0,1.0241698379191757,2.2920156030332657,-2.7727408934554796,True
lag1,1.5,300047,1.0,-1.0169383870548283,2.2900018100957236,-2.8417254932147595,True
lag1,1.5,300048,1.0,1.0259479591275675,-2.292606116234336,2.7296483065029467,True
lag1,1.5,300049,1.0,-1.0300904071891777,2.2938501117909698,-2.622266087375405,True
lag1,1.3,300000,2.0,0.8322051715918909,2.451036705181629,-4.9699332648966505,True
lag1,1.3,300001,2.0,-0.8296021441768697,2.450250771154973,-5.2839835158158,True
lag1,1.3,300002,2.0,0.8365820829476007,-2.4523670612451105,4.9020078602593244,True
lag1,1.3,300003,2.0,-0.8307061026445677,2.4505724971502465,-5.224320849963897,True
lag1,1.3,300004,2.0,-0.8429915031803421,-2.4544354952027443,4.756295287236964,True
lag1,1.3,300005,2.0,0.8334637377239754,-2.4514099035499513,5.331147162416313,True
lag1,1.3,300008,2.0,-0.8372385333220149,-2.4526248217097426,5.1837871467203005,True
lag1,1.3,300009,2.0,-0.8324912820074862,2.4511165069081793,-5.364880682113951,True
lag1,1.3,300010,2.0,0.8390557480701566,2.453226526732321,-5.13593323249826,True
lag1,1.3,300011,2.0,0.8348181706544924,2.4518725216931596,-5.031778124190268,True
lag1,1.3,300012,2.0,-0.8308127915803029,-2.4506667416369594,5.199761841046233,True
lag1,1.3,300013,2.0,0.835404055749942,2.4520315545150475,-5.051898824814087,True
lag1,1.3,300014,2.0,-0.8278299856659476,-2.449712649643871,5.393454747715386,True
lag1,1.3,300015,2.0,0.8337017377811112,2.4515771500732706,-5.1426711570134,True
lag1,1.3,300016,2.0,-0.8355660577526687,-2.4520722115669744,5.221206564614436,True
lag1,1.3,300017,2.0,0.8327487011484896,2.4512425666330286,-5.162923255390832,True
lag1,1.3,300019,2.0,0.8312891457517526,-2.4507688693591647,5.082418344759342,True
lag1,1.3,300020,2.0,-0.8329280160652675,2.4512708023572274,-5.216873857937132,True
lag1,1.3,300021,2.0,-0.840188882017934,2.453503883068184,-5.07470807835637,True
lag1,1.3,300022,2.0,-0.8348411220945045,2.4518818969337906,-5.036863231058129,True
lag1,1.3,300023,2.0,-0.8351465504095353,2.4520094057994433,-5.1559745282833225,True
lag1,1.3,300024,2.0,-0.8391018661419553,2.453219435780498,-5.057691655033076,True
lag1,1.3,300025,2.0,-0.8308613294002686,-2.4506634781843606,5.27986088777317,True
lag1,1.3,300026,2.0,0.8312056953132868,2.4507941074774497,-5.250456299279971,True
