seed,crossed,step,s_cross,q
18,True,149,1.749047659918219,"[1.61251290145904, -1.6169634534289137, 0.7823247786332826, 0.4411732074405563, -0.3857048924868614, -0.9667228812849363, 0.2679903725577412]"
19,True,303,1.9149302508892763,"[1.326384262473848, -1.9252783042869996, 1.250204835001403, -0.5110768252042203, 0.12841300755837443, 0.6647254158878733, 2.2918218774837644]"
20,True,110,2.8937257398734815,"[-0.5595040161020715, 0.2020160917259713, 1.6355743951428134, 1.624866276308612, -1.281884462715897, 1.2581513447306683, 0.7288100777428749]"
21,True,149,2.1539512082311747,"[1.5466487963153435, -1.735338711987133, 0.9868723020338804, -0.404067466238928, 0.5751732161690224, 1.1670789061972942, 0.1354206388392051]"
22,True,80,1.7926386322726897,"[1.1830452328425103, 0.8062331415004392, -0.47193101266484155, 0.32850594641525216, 0.2847175320753139, 1.3207076196078482, -0.5150887746374951]"
23,True,145,1.4802292506796895,"[-0.8311539322789094, 0.1738702919393568, 0.6896094450903322, -1.678092090233238, 1.374607082229556, -0.7906198055893572, 0.3676441333535405]"
24,True,383,1.2655237885178718,"[-0.8588090932552068, -0.2412763357368256, 0.45092324515455845, -1.2858379116703447, 1.5454190364889444, -0.8146005433633134, 1.3417611291452456]"
25,True,37,1.1411831806382606,"[-0.7159767184923451, 0.28812729250610863, -0.6011081372167462, 0.8635341793404626, 0.746696227610549, -0.5400750434215146, 0.7071607469591447]"
26,True,197,1.769600863245154,"[-1.6052414682200247, 1.6909254760636263, -0.9918073182492615, -0.7147587373311863, 0.4160924615488036, 0.7777935449958925, 0.7336207463480968]"
27,True,148,2.6152778506615433,"[0.5201547963644865, -0.5012782280045008, -1.4176324667050486, 1.2908372573994522, -1.3525321152861445, 1.1976453839564947, 0.21904287287437385]"
28,True,152,1.491508888161905,"[-1.5352146546712082, -1.4600676455043873, 0.7168530313689025, -0.5746186047213782, -0.39885646015294113, -0.7746558567930023, 0.2010854645601031]"
29,True,308,1.6769042252036002,"[0.6832088512651108, -0.19797570175479362, -0.7441791652783306, -1.6400636159673319, 1.6261559591983947, -0.9327250599252696, 0.869229175215095]"
30,True,449,1.915173251400201,"[-0.3699233159698983, 0.7748084547201686, 0.8794714854306923, 1.30980743954648, -1.9368164881320606, 1.0357017659695087, 0.6800463679659157]"
31,True,76,1.4359474787135218,"[1.5615070220674134, -1.4593682111834587, 0.86590770200638, -0.9619529651204705, 0.08462178894213432, 0.5700397767071419, 0.5266366746294234]"
32,True,68,0.5106305391230699,"[-1.1683533362388434, -0.5780001649340011, 0.2269057752856546, -0.7458338959675895, 0.26446846851755645, -0.28372476383741524, -0.29084830374484355]"
33,True,176,1.88024497003505,"[1.6968348257162988, -1.5278912193972272, 1.0148067091458197, -0.7253333860644146, 0.15516002869889442, 0.8654382608892304, 0.8408690577537183]"
34,True,341,1.4148677254004811,"[1.5595634031568837, -1.5697620217502168, 0.7961469658241563, -0.7039407337422312, 0.12117792296539026, 0.6187207595763248, 0.8115274523774196]"
35,True,381,1.8642989127294383,"[-0.609679107502131, 0.5690346584387983, 0.6037041441315885, -1.314591105516412, 1.9640045854522987, -1.2605947685978498, 1.9627192473958992]"
36,True,496,2.0350989248436973,"[0.49139483839952625, -0.40430321762270677, -0.6799252575050111, 1.236557383487241, -1.9555911417500629, 1.3551736673386863, 2.347506821135447]"
37,True,306,2.289996152762232,"[0.5742346315179889, -0.34681831726485374, -0.8759008041317069, -1.362191862851313, 1.8068761730232612, -1.4140953486305252, 2.0426277154210597]"
38,True,81,1.4632553873479035,"[-1.1184900726276628, -0.35417564829228454, 0.5067390797583803, -0.7481776934907508, 0.8803282135136786, -0.9565163075895232, 1.4204906251676837]"
39,True,62,2.3126159373180464,"[-0.5302309371339067, -0.6069592242983896, -1.297218182267508, 1.4606271474022876, 1.400660104780459, -1.0153977550505384, -0.30271391925124247]"
40,True,141,2.268818393843608,"[1.5826386928212481, -1.706986351869695, 1.0331423339104089, 0.45845328791173223, -0.6876844308853638, -1.235676059933199, -0.21160194137322694]"
41,True,423,1.693970030625937,"[0.475840180209129, -0.6065343347173437, -0.8282419228678818, -1.4928910697486193, 1.7618178483778235, -0.8657281077580554, 0.37502123885087696]"
42,True,125,1.1558416461969165,"[-0.9003737717847066, -0.11174889102019198, -0.5599682925566644, -1.579969878481854, -1.124293190904118, 0.5958733536402522, 0.2717640050141929]"
43,True,238,1.9897541778658807,"[0.4592544074764738, -0.5314004393381605, -1.0834588378132637, 1.6211123706810073, -1.679451919854993, 0.9062953400526169, 0.05129120813439546]"
44,True,324,2.3152927860828645,"[-1.288012936622745, 1.8828146989659964, -1.3151688947492903, -0.43583588182620775, 0.7317784458265303, 1.0001238913335742, 1.1393551372305755]"
45,True,178,2.1349009494208957,"[-1.5142063475479217, 1.4184926676474647, -1.1362770167677576, 0.7340666596458635, -0.3152294301377745, -0.9986239326531381, 0.6601427047513959]"
