seed,crossed,step_obs,t_rule,t_sw,r_obs,r_traj_committed,r_cf_committed,registered_r_traj,registered_r_cf,registered_status_traj,p_switch_r_traj,p_switch_r_cf,p_switch_status_traj,p_cross_r_traj,p_cross_r_cf,p_cross_status_traj,p_switch_before_crossing
1650055,True,1079.0,560,1024,0.0648970630612337,0.0614311526338731,0.062723068109416,0.06143115263387311,0.06272306810941605,ok,0.0625869076299419,0.06283739657642033,ok,0.06143115263387311,0.061905248766185965,ok,True
1650056,True,1490.0,1072,1417,0.0917838002442827,0.0917838002442827,0.0842378003743057,0.09178380024428279,0.08423780037430578,ok,0.08809764238067053,0.08112995357922806,ok,0.08686789773770887,0.07965226017385862,ok,True
1650057,True,5073.0,4913,5038,0.1033335669885426,0.0725142727657013,0.0792595732059072,0.07251427276570133,0.07925957320590724,ok,0.09501091089481939,0.10639334099023831,ok,0.0977917345100403,0.110021659472814,ok,True
1650058,True,9097.0,8968,9069,0.1057685051843606,0.0557039758316235,0.0765512375190061,0.055703975831623564,0.07655123751900614,ok,0.09523306535301979,0.1347178917347786,ok,0.09875477324619353,0.14212165814166217,ok,True
1650059,True,1130.0,642,1046,0.1030203465414387,0.1090140322746695,0.0991575776714649,0.10901403227466955,0.09915757767146494,ok,0.09941984613824273,0.09013868102234672,ok,0.09701771205385845,0.08747398841814881,ok,True
1650060,True,654.0,202,590,0.0821362676690236,0.0555794390138797,0.0536791823614648,0.05557943901387974,0.05367918236146486,ok,0.07835811838681295,0.07423030510002636,ok,0.07709759222754675,0.07284128381462394,ok,True
1650061,True,946.0,264,862,0.0844906040008497,0.1261969476864644,0.1283717433609705,0.1261969476864644,0.12837174336097054,ok,0.08250265856510297,0.0826987288243495,ok,0.07852624900240279,0.07917235199039277,ok,True
1650062,True,1066.0,581,973,0.0945176857329552,0.1239688209892833,0.1351462993797005,0.1239688209892833,0.13514629937970057,ok,0.09350383436378995,0.10212566298380395,ok,0.08843630732758312,0.09674020967977057,ok,True
1650063,True,437.0,129,380,0.0991549379308045,0.0923430596587813,0.101698400302395,0.09234305965878131,0.10169840030239508,ok,0.09575065151072848,0.10804151239970441,ok,0.09404727019597048,0.10615601308150015,ok,True
1650064,True,3704.0,3589,3679,0.0941719351154359,0.0581004939460219,0.0927160327098545,0.0581004939460219,0.09271603270985451,ok,0.08706692716319009,0.144037607721991,ok,0.09062566765721347,0.15103646405193935,ok,True
